Relatório de ;Depósito por Banco; Analítico
Entre ;29/08/2011 00:00:00 ;e 29/08/2011 23:59:00; tirado em ;29/08/2011 12:10:15
;;;;;
 Bradesco S.A.
Protocolo;Usuário;Agência;CC;Favorecido;Valor
#142410;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;28.28
#142410/1 CERTIDÕES
#142410;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;39.51
#142410/2 CERTIDÕES
#142410;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;14.28
#142410/3 CERTIDÕES
#142410;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;19.81
#142410/4 CERTIDÕES
#142414;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;28.28
#142414/1 CERTIDÕES
#142414;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;39.51
#142414/2 CERTIDÕES
#142414;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;14.28
#142414/3 CERTIDÕES
#142414;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;-0.04
#142414/4 CERTIDÕES
#142414;operacion;2138-5;24560-7;AGICART - SERVIÇOS DOCUMENTALISTA I;19.81
#142414/4 CERTIDÕES
;;;;Subtotal;203.72

;;;;Total:;203.72

