0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             03092012                                                                                                                                                                                                                                                                                                                                                                                      000001
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000106353700188771-2-2  29082012016CURITIBA            3009201200000000019698677CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000206353718188354-2-2  29082012016CURITIBA            3009201200000000017135932CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000306353726188011-2-2  29082012016CURITIBA            3009201200000000011199712CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000406353734188352-2-2  29082012016CURITIBA            3009201200000000031709314CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000506353769188612-2-2  29082012016CURITIBA            3009201200000000025707156CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000606353807189295-2-2  29082012016CURITIBA            3009201200000000020242440CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000706353815188231-2-2  29082012016CURITIBA            3009201200000000017066416CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1046421006658COBR_CAUC_COR  TRANSPORTES DALCOQUIO LTDA              001999166000126INNOVA SA                               BR 386-ROD.TABAI/CANOAS,                TRIUNFO                                 95835000RS3759800001000073431201054949  29082012900BRADESCO S/A        1009201200000000012093763CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1031421009837COBR_CAUC_BIC  DIPLOMATA S/A  INDL. E COMERCIAL        010436655000160REAL CARNES IND. E COM. DE CARNES       RUA DO ALHO 1550                        RIO DE JANEIRO                          21011000RJ3759900001050401140339818-01  30082012014RIO DE JANEIRO      0510201200000000010721880CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1014420939021COBR_CAUC_BIC  EDITORA O DIA S/A                       010757237000175NOVA CASA BAHIA S/A.                    CONDE FRANCISCO MATARAZZO 100           SAO CAETANO DO                          09520900SP3760000001024695560656115     31082012038ABC                 2009201200000000019655704CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1016421000809COBR_CAUC_BIC  LOGIKA DISTRIBUIDORA COSMETICOS LTD     013495487000253DESTRO BRASIL DISTRIBUICAO LTDA         R DILSON LUIZ, 660                      CURITIBA                                81940200PR3760100001036718260025232/01  29082012016CURITIBA            1909201200000000029886276CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1009421001996COBR_CAUC_COR  MEDICAL SHOP PROD.HOSPITALARES LTDA     000628107001584ASSEFAZ - FUNDACAO ASSIST. DOS SER      SCS QUADRA 05, BLOCO C, LOJA 154,0      BRASILIA                                70305000DF37602000010005575653650/1     31082012900BRADESCO S/A        1010201200000000014536200CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   036492502000124CHARQUE 500 INDUSTRIA E COMERCIO L      RUA JOAQUIM EUGENIO SANTOS 500          MARICA                                  24901040RJ3762500001050180540000794301  07082012800UNIBANCO S/A        0609201200000000008799000CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   036492502000124CHARQUE 500 INDUSTRIA E COMERCIO L      RUA JOAQUIM EUGENIO SANTOS 500          MARICA                                  24901040RJ3762500002050180620000794302  07082012800UNIBANCO S/A        1109201200000000008799000CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   001928075002062DMA DISTRIBUIDORA S/A                   RODOVIA BR 040 KM 531 NR 180            BELO HORIZONTE                          30855500MG3762600001050178560009237501  07082012019BELO HORIZONTE      0609201200000000008726624CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   001928075002062DMA DISTRIBUIDORA S/A                   RODOVIA BR 040 KM 531 NR 180            BELO HORIZONTE                          30855500MG3762600002050178640009237601  07082012019BELO HORIZONTE      0609201200000000001427986CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   001928075002062DMA DISTRIBUIDORA S/A                   RODOVIA BR 040 KM 531 NR 180            BELO HORIZONTE                          30855500MG3762600003050184530009260301  09082012019BELO HORIZONTE      1009201200000000008113959CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
