0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             13102011                                                                                                                                                                                                                                                                                                                                                                                      000001
1007421054560DIR_CREDIT     MAXXOR DO BRASIL IMP E EXP              045298569000113PREFEITURA MUNICIPAL DE ALTINOPOLIS     RUA MAJOR GARCIA                        ALTINOPOLIS                             14350000SP3113600001                                                                                                                                          481055559           060520110000019361046/2011. 0403102011000404Contratos para aquisição de um retroescavadeira (CONV.0336992-01) e de uma motoniveladora (CONV.0347612-36).                                                                                                                                    012765881000110              000002
1044481016610DIR_CREDIT     A.P.V. EMPREENDIMENTOS LTDA             024365710000183UNIVERSIDADE FEDERAL DO RN - UFRN       AV SENADOR SALGADO FILHO - 3000         NATAL                                   59078970RN3115000001                                                                                                                                          481017080           301220100000017783131/2010-UFR04102011000404ampliação do bloco 01 do pavilhão acadêmico do campus avançado do trai-ri - santa cruz/rn.                                                                                                                                                      003271170000107              000003
1014441017721DIR_CREDIT     TV OMEGA LTDA                           030902803000100IGREJA INTERNACIONAL DA GRACA DE DEUS   ESR DOS BANDEIRANTES, 1000              TAQUARA                                 22710112RJ3116400001                                                                                                                                          011615328           280920090000010207            05102011000403CONTRATO DE CESSAO ONEROSA DE ESPAÇO TELEVISIVO E PRESTAÇÃO DE SERVIÇOS CONEXOS                                                                                                                                                                 002131538000322              000004
1014441017721DIR_CREDIT     TV OMEGA LTDA                           030902803000100IGREJA INTERNACIONAL DA GRACA DE DEUS   EST DOS BANDEIRANTES, 1000              TAQUARA                                 22710112RJ3116500001                                                                                                                                          011615328           010420100000012859            05102011000403Cessão onerosa de espaço televisivo,ref. programação a ser veiculada e exibida por todas as emissoras da rede tv!, de segunda a sexta-feira,c/duração de 3h e 30 min,c/início às 5h e término às 8h e 30min.                                    002131538000322              000005
1041481008150DIR_CREDIT     JJ ENGENHARIA E CONSTRUCOES LTDA        008809355000138SETRANS - SEC DE TRANSP DO PIAUI        AV. PEDRO FREITAS, S/N, BLOCO G, 1 ANDARTERESINA                                64000000PI3116600001                                                                                                                                          481008400           29052009000000991245/2008     05102011000404PAVIMENTACAO DA RODOVIA PI-224-TRECHO: SAO MIGUEL DA BAIXA GRANDE/PRATADO PIAUI, COMPREENDENDO UMA EXTENSAO DE 25,70KM, NO ESTADO DO PIAUI.                                                                                                     001110424000171              000006
1013421019571DIR_CREDIT     JPNOR ENGENHARIA LTDA                   042150391000170BRASKEM S.A.                            RUA ETENO,1561-POLO PETROQUIMICO        CAMAçARI                                42800000BA3121200001                                                                                                                                          481023080           10022010000001798510108/2009  07102011000404Elaboração de projetos conceituais, de engenharia básica, de detalhamento de projeto, de automação, estudos técnicos e estudos de viabilidade.                                                                                                  001531864000100              000007
1013421019571DIR_CREDIT     JPNOR ENGENHARIA LTDA                   001202799000242RIO POLIMEROS S.A.                      RUA MARUMBI, 1001-CAMPOS ELISEOS        DUQUE DE CAXIAS                         25070235RJ3121300001                                                                                                                                          481023080           10022010000001985910108       07102011000404Elaboração de projetos conceituais, de engenharia básica, de detalha-  mento de projeto, de automação, estudos técnicos e estudos de viabilidade.                                                                                               001531864000100              000008
1013421019571DIR_CREDIT     JPNOR ENGENHARIA LTDA                   009017802000260QUATTOR PARTICIPAçõES S/A               AV PRESIDENTE COSTA E SILVA,400         SANTO ANDRE                             09270000SP3121400001                                                                                                                                          481023080           10022010000001986010108       07102011000404Elaboração de projetos conceituais, de engenharia básica, de detalha-  mento de projeto, de automação, estudos técnicos e estudos de viabilidade.                                                                                               001531864000100              000009
1013421019571DIR_CREDIT     JPNOR ENGENHARIA LTDA                   004705090000177QUATTOR PETROQUIMICA S.A.               AV AYRTON SENA DA SILVA,2700-JD ORATORIOMAUA                                    09380901SP3121500001                                                                                                                                          481023080           10022010000001986210108       07102011000404elaboração de projetos conceituais, de engenharia básica, de detalhamento de projeto, de automação, estudos técnicos e estudos de viabilidade.                                                                                                  001531864000100              000010
1047421000232COBR_CAUC_BIC  JOFER EMBALAGENS LTDA.                  000190373000172IND. E COM. DE COSMETICOS NATURA L      AVENIDA JURUA, 253                      BARUERI                                 06455010SP3129300001011118130025247     07102011007PAULISTA            2112201100000000017724951CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1048421000613COBR_CAUC_BIC  TRIANGULO ALIMENTOS LTDA                061116331004769S/A FABRICA DE PRODUTOS ALIMENTICI      RUA AMAZONAS, 77                        SAO CAETANO DO                          09520070SP3129400001004458180001900988  10102011038ABC                 0911201100000000011831200CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1031421007893COBR_CAUC_COR  DIPLOMATA S/A  INDL. E COMERCIAL        005907238000119ICEPORT  TERM FRIGORÍFICO DE NAVEG      RUA ANIBAL GAYA 707                     NAVEGANTES                              88375000SC3129500001049337940264450-01  10102011800UNIBANCO S/A        0811201100000000013432311CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1007421032516COBR_CAUC_BIC  NITRIFLEX SP IND E COM DE BORRACHAS     049327943000201DAY BRASIL S/A                          AV. MASRQUES DE SAO VICENTE, 1213       SAO PAULO                               01139901SP312960000100855935000728201   11102011007PAULISTA            2510201100000000018756675CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1003441000362COBR_CAUC_BIC  PESQUEIRA MAGUARY LTDA                  005365002000106EDIFRIGO COMERCIAL E INDUSTRIAL LT      AV. BARAO DO BANANA,695-ANHANGUERA      RIBEIRAO PRETO                          14092000SP313140000104018255000002486C  05092011022RIBEIRAO PRETO      1910201100000000001500000CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1003441000362COBR_CAUC_BIC  PESQUEIRA MAGUARY LTDA                  005365002000106EDIFRIGO COMERCIAL E INDUSTRIAL LT      AV. BARAO DO BANANA,695-ANHANGUERA      RIBEIRAO PRETO                          14092000SP313140000204018263000002486D  05092011022RIBEIRAO PRETO      2410201100000000001500000CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1003441000362COBR_CAUC_BIC  PESQUEIRA MAGUARY LTDA                  005365002000106EDIFRIGO COMERCIAL E INDUSTRIAL LT      AV. BARAO DO BANANA,695-ANHANGUERA      RIBEIRAO PRETO                          14092000SP313140000304026614000002575D  20092011022RIBEIRAO PRETO      0511201100000000000465750CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1003441000362COBR_CAUC_BIC  PESQUEIRA MAGUARY LTDA                  005365002000106EDIFRIGO COMERCIAL E INDUSTRIAL LT      AV. BARAO DO BANANA,695-ANHANGUERA      RIBEIRAO PRETO                          14092000SP313140000404026622000002575C  20092011022RIBEIRAO PRETO      3110201100000000000465750CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1003441000362COBR_CAUC_BIC  PESQUEIRA MAGUARY LTDA                  005365002000106EDIFRIGO COMERCIAL E INDUSTRIAL LT      AV. BARAO DO BANANA,695-ANHANGUERA      RIBEIRAO PRETO                          14092000SP313140000504026631000002575B  20092011022RIBEIRAO PRETO      2610201100000000000465750CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1003441000362COBR_CAUC_BIC  PESQUEIRA MAGUARY LTDA                  005365002000106EDIFRIGO COMERCIAL E INDUSTRIAL LT      AV. BARAO DO BANANA,695-ANHANGUERA      RIBEIRAO PRETO                          14092000SP313140000604026649000002575A  20092011022RIBEIRAO PRETO      2110201100000000000465750CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1003441000362COBR_CAUC_COR  PESQUEIRA MAGUARY LTDA                  003636036000154ASA BRANCA INDL. COML. E IMPORTADO      AVENIDA ASA BRANCA - DISTRITO ,342      ARAPIRACA                               57303750AL313150000104016554000002472C  01092011900BRADESCO S/A        1710201100000000003928334CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1003441000362COBR_CAUC_COR  PESQUEIRA MAGUARY LTDA                  003636036000154ASA BRANCA INDL. COML. E IMPORTADO      AVENIDA ASA BRANCA - DISTRITO ,342      ARAPIRACA                               57303750AL313150000204022228000002508B  09092011900BRADESCO S/A        1810201100000000000345800CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1003441000362COBR_CAUC_COR  PESQUEIRA MAGUARY LTDA                  003636036000154ASA BRANCA INDL. COML. E IMPORTADO      AVENIDA ASA BRANCA - DISTRITO ,342      ARAPIRACA                               57303750AL313150000304022236000002508C  09092011900BRADESCO S/A        2310201100000000000345800CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
