0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             29122011                                                                                                                                                                                                                                                                                                                                                                                      000001
1031421007893COBR_CAUC_COR  DIPLOMATA S/A  INDL. E COMERCIAL        005907238000119ICEPORT  TERM FRIGORÍFICO DE NAVEG      RUA ANIBAL GAYA 707                     NAVEGANTES                              88375000SC3280600001049581340142178-01  22122011800UNIBANCO S/A        1301201200000000017616987CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    009397586000144SERRANO DISTRIBUIDORA LTDA              AV. EUDES SCHERRER DE SOUZA, 2001       SERRA                                   29167080ES32842000010006413011 0126942  06122011900BRADESCO S/A        0301201200000000001360000CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    009397586000144SERRANO DISTRIBUIDORA LTDA              AV. EUDES SCHERRER DE SOUZA, 2001       SERRA                                   29167080ES32842000020006414811 0126943  06122011900BRADESCO S/A        1001201200000000001360000CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    077883320000757SUPERMERCADO SUPERPAO LTDA              RUA SANTA CATARINA, 880                 IVAIPORA                                86870000PR3284300001000658454  129248   15122011900BRADESCO S/A        0501201200000000000250000CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    077883320000757SUPERMERCADO SUPERPAO LTDA              RUA SANTA CATARINA, 880                 IVAIPORA                                86870000PR3284300002000658534  129249   15122011900BRADESCO S/A        0501201200000000000250000CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    077883320000757SUPERMERCADO SUPERPAO LTDA              RUA SANTA CATARINA, 880                 IVAIPORA                                86870000PR3284300003000658614  129250   15122011900BRADESCO S/A        0501201200000000000800000CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    077883320000757SUPERMERCADO SUPERPAO LTDA              RUA SANTA CATARINA, 880                 IVAIPORA                                86870000PR3284300004000658704  129251   15122011900BRADESCO S/A        0501201200000000000560000CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    077883320000757SUPERMERCADO SUPERPAO LTDA              RUA SANTA CATARINA, 880                 IVAIPORA                                86870000PR3284300005000658884  129252   15122011900BRADESCO S/A        0501201200000000000560000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    077883320000757SUPERMERCADO SUPERPAO LTDA              RUA SANTA CATARINA, 880                 IVAIPORA                                86870000PR3284300006000658964  129253   15122011900BRADESCO S/A        0501201200000000000600000CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    007170943001850BARCELONA COM VAREJ ATAC SA             RODOVIA RAPOSO TAVARES, SN KM 26,5      COTIA                                   06707000SP3284400001000655194  128928   10122011900BRADESCO S/A        1001201200000000000770000CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    007170943001850BARCELONA COM VAREJ ATAC SA             RODOVIA RAPOSO TAVARES, SN KM 26,5      COTIA                                   06707000SP3284400002000655274  128929   10122011900BRADESCO S/A        1001201200000000000525000CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    007170943001850BARCELONA COM VAREJ ATAC SA             RODOVIA RAPOSO TAVARES, SN KM 26,5      COTIA                                   06707000SP3284400003000655354  128930   10122011900BRADESCO S/A        1001201200000000000990000CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    007170943001850BARCELONA COM VAREJ ATAC SA             RODOVIA RAPOSO TAVARES, SN KM 26,5      COTIA                                   06707000SP3284400004000656084  129110   13122011900BRADESCO S/A        1301201200000000000900000CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    006240281000136MAR AZUL DISTRIBUIDORA LTDA             AV. DURVAL DE GOES MONTERO, 6115 E 6107 MACEIO                                  57062280AL3284500001000640598  0514103  02122011900BRADESCO S/A        0101201200000000003600000CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    000923256000170FRIGORIFICO E ACOUGUE DA RESERVA L      RUA NUCLEO COML WALDIR BARRETO, 16 CASA RUY BARBOSA                             46800000BA32846000010006451211 0127351  07122011900BRADESCO S/A        0101201200000000001367760CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
