0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             23112011                                                                                                                                                                                                                                                                                                                                                                                      000001
1024420934410COBR_CAUC_BIC  INTERCOOP INT SUIN MED NORTE MT LTD     004641376007300SUPERMERCADOS BH COMERCIO DE ALIME      AV. AMERICO VESPUCIO ,1271              BELO HORIZONTE                          31230250MG32092000010194169569301       16112011019BELO HORIZONTE      1612201100000000014676745CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       047960950003902MAGAZINE LUIZA S/A                      RUA DO COMÈRCIO 1.924                   FRANCA                                  14400660SP3209300001062373860000037410  21112011022RIBEIRAO PRETO      1912201100000000012656785TD                                                                                                                                                                                                                                                                                                                                                                                                         000003
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       056642960000100LOJAS CEM S/A                           ROD.ENG.ERMENIO OLIVE 0, KM 46 S/N      SALTO                                   13329900SP3209400001062370920000064348  21112011021CAMPINAS            1212201100000000011239247TD                                                                                                                                                                                                                                                                                                                                                                                                         000004
1016421019267COBR_CAUC_BIC  COBRAZEM AGROINDUSTRIAL LTDA            084874726000496KAEFER AGRO INDUSTRIAL                  ROD BR 467, KM 03,SN-CX POSTAL 227      CASCAVEL                                85802970PR3209500001032418560000972-01  04112011016CURITIBA            0812201100000000025425000CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1007421017940COBR_CAUC_COR  QUIRIOS PRODUTOS QUIMICOS S/A           043206069000189COMERCIO E IND.MATSUDA IMP.E E          ROD.RAPOSO TAVARES, SP 270 KM 575       ALVARES MACHADO                         19160000SP3209600001009293010009719 01  21112011900BRADESCO S/A        2112201100000000015982036CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             006059962000100USINA ITAPAGIPE ACUCAR E ALCOOL LT      AV. JOHN DALTO,301-LOTE 2 - TERREO      CAMPINAS                                13069330SP3212100001011668211297        16112011021CAMPINAS            0201201200000000003098000CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             006059962000100USINA ITAPAGIPE ACUCAR E ALCOOL LT      AV. JOHN DALTO,301-LOTE 2 - TERREO      CAMPINAS                                13069330SP3212100002011668551299        16112011021CAMPINAS            0901201200000000003269000CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             007398533000112USINA GUARIROBA LTDA                    AV. JOHN DALTO,301-LOTE 02- TERREO      CAMPINAS                                13069330SP3212200001011293561208        18102011021CAMPINAS            0512201100000000003523800CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             007398533000112USINA GUARIROBA LTDA                    AV. JOHN DALTO,301-LOTE 02- TERREO      CAMPINAS                                13069330SP3212200002011444791260        01112011021CAMPINAS            1912201100000000003270400CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             007455944000100USINA FRUTAL ACUCAR E ALCOOL S/A        AV. JOHN DALTON,,301-LOTE 2-TERREO      CAMPINAS                                13069330SP3212300001011280661201        18102011021CAMPINAS            0512201100000000006635000CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             007455944000100USINA FRUTAL ACUCAR E ALCOOL S/A        AV. JOHN DALTON,,301-LOTE 2-TERREO      CAMPINAS                                13069330SP3212300002011442231237        28102011021CAMPINAS            1212201100000000005439000CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             007455944000100USINA FRUTAL ACUCAR E ALCOOL S/A        AV. JOHN DALTON,,301-LOTE 2-TERREO      CAMPINAS                                13069330SP3212300003011444871258        01112011021CAMPINAS            1912201100000000007133000CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
9000008                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000014
