0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             16012012                                                                                                                                                                                                                                                                                                                                                                                      000001
1047421000232COBR_CAUC_BIC  JOFER EMBALAGENS LTDA.                  000190373000172IND. E COM. DE COSMETICOS NATURA L      AVENIDA JURUA, 253                      BARUERI                                 06455010SP3331300001012372560028438     13012012007PAULISTA            2803201200000000068912817CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1047421000232COBR_CAUC_BIC  JOFER EMBALAGENS LTDA.                  000190373000172IND. E COM. DE COSMETICOS NATURA L      AVENIDA JURUA, 253                      BARUERI                                 06455010SP3331300002012372640028440     13012012007PAULISTA            2803201200000000032669779CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1028421002719COBR_CAUC_COR  SIPCAM UPL BRASIL S/A                   003908371000326DELTA AGRICOLA LTDA                     AV ANTONIO B ARANTES, 433 Q 123 L 212   PIRACANJUBA                             75640000GO333140000102748831DC00921201  24112011900BRADESCO S/A        3005201200000000018136000CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1028421002719COBR_CAUC_BIC  SIPCAM UPL BRASIL S/A                   012147930000151FAZENDA PARNAIBA EMPR. AGRICOLAS L      RUA BERNARDO PIRES, 128 - 4 ANDAR       PORTO ALEGRE                            90620010RS333150000102749233DL01575501  11012012015PORTO ALEGRE        2802201200000000012809320CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP333160000101024646002071      12012012007PAULISTA            0802201200000000012455315CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP333160000201024719002073      12012012007PAULISTA            1502201200000000012455315CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP333160000301024727002072      12012012007PAULISTA            0802201200000000012455315CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13208401SP3331700001062751130000600257  12012012007PAULISTA            0602201200000000011854184TD                                                                                                                                                                                                                                                                                                                                                                                                         000009
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13208401SP3331700002062751210000046826  12012012007PAULISTA            0602201200000000010934083TD                                                                                                                                                                                                                                                                                                                                                                                                         000010
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13208401SP3331700003062751300000046896  12012012007PAULISTA            0602201200000000010934083TD                                                                                                                                                                                                                                                                                                                                                                                                         000011
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13208401SP3331700004062751480000046992  13012012007PAULISTA            0602201200000000010934083TD                                                                                                                                                                                                                                                                                                                                                                                                         000012
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13208401SP3331700005062751560000600561  12012012007PAULISTA            0602201200000000010124151TD                                                                                                                                                                                                                                                                                                                                                                                                         000013
9000005                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000014
