0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             31052012                                                                                                                                                                                                                                                                                                                                                                                      000001
1044421001234DIR_CREDIT     INST.DE TRAUMATOLOGIA E ORT.DO RN       008241754000145SECRETARIA DE ESTADO DA SAUDE PUBLICA   AV DEODORO DA FONSECA, 730              NATAL                                   59025600RN3564700001                                                                                                                                          481017374           090920100000015572207/10      14122011000404locação dos imóveis contíguos, situados à rua joaquim manuel, n 638 e 720 - petrópolis - natal/rn, incluindo todos os equipamentos,leitos, etc para   funcionamento de uma unidade hospitalar p/ estado do rn.                                  008285710000117              000002
1036421016893COBR_CAUC_COR  TECAL ALUMINIO DA AMAZONIA LTDA         004012043000148SHOWA DO BRASIL LTDA                    RUA RIO QUIXITO                         MANAUS                                  69075830AM3565800001058699110000040200  28052012900BRADESCO S/A        2706201200000000011809424CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1029421015592DIR_CREDIT     CEDI SERVICOS POR IMAGENS LTDA          073717639000166PRO SALUTE SERVICOS PARA SAUDE LTDA     RUA FEIJO JR, 778                       CAXIAS DO SUL                           95034160RS3566500001                                                                                                                                          141009878           290220120000020844            30052012000703prestacao de serviços na especialidade de diagnóstico por imagem reali zando exames de radiologia e ultrassonografia pela contratada aos beneficiáriosintegrantes dos planos privados de assistência e saúde.                                   004227190000135              000004
1032421024516COBR_CAUC_COR  GUEDES IMPORTACAO E DISTRIBUICAO LT     008113644000106DRSP TEXTIL LTDA                        RUA DO CEDRO 1000 BLOCO 1               BRUSQUE                                 88359001SC356740000100253872MS 781/1    01022012800UNIBANCO S/A        1306201200000000000619500CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1032421024516COBR_CAUC_BIC  GUEDES IMPORTACAO E DISTRIBUICAO LT     009568330000152ADOMES CONFECCOES =LTDA                 ROD. PR 317 - SAIDA ,7370-GALPAO 1      MARINGA                                 87065005PR356750000100253791MS 784/4    01022012016CURITIBA            0306201200000000000916363CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1032421024516COBR_CAUC_BIC  GUEDES IMPORTACAO E DISTRIBUICAO LT     009568330000152ADOMES CONFECCOES =LTDA                 ROD. PR 317 - SAIDA ,7370-GALPAO 1      MARINGA                                 87065005PR356750000200253783MS 784/5    01022012016CURITIBA            1306201200000000000916363CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1032421024516COBR_CAUC_BIC  GUEDES IMPORTACAO E DISTRIBUICAO LT     009568330000152ADOMES CONFECCOES =LTDA                 ROD. PR 317 - SAIDA ,7370-GALPAO 1      MARINGA                                 87065005PR356750000300253937MS 784/6    01022012016CURITIBA            2306201200000000000916363CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1032421024516COBR_CAUC_COR  GUEDES IMPORTACAO E DISTRIBUICAO LT     007784867000124PORTAL DO LAR ENXOVAIS LTDA EPP         ROD ANTONIO HEIL,501-KM 27              BRUSQUE                                 88353100SC356760000100315681MS 933/4    24022012800UNIBANCO S/A        0406201200000000000781800CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1032421024516COBR_CAUC_COR  GUEDES IMPORTACAO E DISTRIBUICAO LT     007784867000124PORTAL DO LAR ENXOVAIS LTDA EPP         ROD ANTONIO HEIL,501-KM 27              BRUSQUE                                 88353100SC356760000200315690MS 933/5    24022012800UNIBANCO S/A        1406201200000000000781800CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1032421024516COBR_CAUC_COR  GUEDES IMPORTACAO E DISTRIBUICAO LT     007784867000124PORTAL DO LAR ENXOVAIS LTDA EPP         ROD ANTONIO HEIL,501-KM 27              BRUSQUE                                 88353100SC356760000300315703MS 933/6    24022012800UNIBANCO S/A        2406201200000000000781800CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1032421024516COBR_CAUC_COR  GUEDES IMPORTACAO E DISTRIBUICAO LT     007784867000124PORTAL DO LAR ENXOVAIS LTDA EPP         ROD ANTONIO HEIL,501-KM 27              BRUSQUE                                 88353100SC356760000400315711MS 933/7    24022012800UNIBANCO S/A        0407201200000000000781800CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1032421024516COBR_CAUC_BIC  GUEDES IMPORTACAO E DISTRIBUICAO LT     012362876000167GRAND TEXTIL LTDA ME                    R. LOURIVAL CORREIA PINHO,374           FORTALEZA                               60821720CE356770000100280799MS 821/1    09022012003CENTRO              0806201200000000001572400CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
