0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             05062012                                                                                                                                                                                                                                                                                                                                                                                      000001
1028421002719COBR_CAUC_BIC  SIPCAM UPL BRASIL S/A                   005772606000169ROTAM DO BRASIL AGROQ. E PROD. AGR      RUA SIQUEIRA CAMPOS, 233                CAMPINAS                                13106006SP3575700001027735840001113901  28052012021CAMPINAS            2706201200000000014272800CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP357580000101265431002261      04062012007PAULISTA            2706201200000000109047952CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP357580000201265449002264      04062012007PAULISTA            2706201200000000040167863CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               002976966000194CONFECCOES U2 LTDA.                     PROFESSOR CESARE LOMBROSO,178           SAO PAULO                               01122021SP357590000101265422456722      01062012007PAULISTA            2509201200000000019600000CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     011751805000193CONSORCIO SANTA BARBARA - MENDES J      AVENIDA AGRICOLA PAES DE BARROS,0       CUIABA                                  78030210MT35776000010337916598824       18042012024CUIABA              1206201200000000003252558CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     061522512003390CONSTRUTORA E COMERCIO CAMARGO COR      RUA IZABEL VIEIRA MARTINS,131           ITAPERUNA                               28300000RJ35777000010341947799663       23052012800UNIBANCO S/A        2606201200000000003576124CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000010340620199392       11052012021CAMPINAS            1006201200000000002186100CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000020341919199676       23052012021CAMPINAS            2706201200000000001539000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000030341918399681       23052012021CAMPINAS            2206201200000000000441989CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000040341943499682       23052012021CAMPINAS            2206201200000000000120400CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000050341940099689       23052012021CAMPINAS            2206201200000000000594409CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     076519974000814J MALUCELLI CONSTRUTORA DE OBRAS        RUA MATO GROSSO,169                     NOVA CANAA DO N                         78515000MT35779000010341942699685       23052012800UNIBANCO S/A        0207201200000000005200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     008371303000122WZ OLIVEIRA MANUTENCAO E MONTAGENS      RUA FRANCISCO GALARDA,411               ARAUCARIA                               83706540PR35780000010342945699891       31052012016CURITIBA            0507201200000000000281522CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     008371303000122WZ OLIVEIRA MANUTENCAO E MONTAGENS      RUA FRANCISCO GALARDA,411               ARAUCARIA                               83706540PR35780000020342946499891/2     31052012016CURITIBA            1207201200000000000281522CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     008371303000122WZ OLIVEIRA MANUTENCAO E MONTAGENS      RUA FRANCISCO GALARDA,411               ARAUCARIA                               83706540PR35780000030342947299891/3     31052012016CURITIBA            1907201200000000000281606CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     013200521000134CONSORCIO FERROSUL                      RUA PAULO LOPES,400-LT 3 E 4            SANTA HELENA DE                         75920000GO35781000010340622799396       11052012800UNIBANCO S/A        1006201200000000000852886CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     043999424000114VOLVO DO BRASIL VEICULOS LTDA           AV. JUCELINO K DE OLIVEIRA,2600         CURITIBA                                81260000PR35782000010341949399660       23052012016CURITIBA            2706201200000000000294000CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     043999424000114VOLVO DO BRASIL VEICULOS LTDA           AV. JUCELINO K DE OLIVEIRA,2600         CURITIBA                                81260000PR35782000020341908699700       24052012016CURITIBA            2106201200000000000420000CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     043999424000114VOLVO DO BRASIL VEICULOS LTDA           AV. JUCELINO K DE OLIVEIRA,2600         CURITIBA                                81260000PR35782000030341909499709       24052012016CURITIBA            2106201200000000000087892CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     043999424000114VOLVO DO BRASIL VEICULOS LTDA           AV. JUCELINO K DE OLIVEIRA,2600         CURITIBA                                81260000PR35782000040341934599712       24052012016CURITIBA            2106201200000000000082783CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     004731861000109INTERALLI ADMINISTRACAO E PARTICIP      AVENIDA PORTUARIA,0                     PARANAGUA                               83221570PR35783000010341913299706/1     24052012016CURITIBA            2106201200000000000325401CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     004731861000109INTERALLI ADMINISTRACAO E PARTICIP      AVENIDA PORTUARIA,0                     PARANAGUA                               83221570PR35783000020341912499706/2     24052012016CURITIBA            2806201200000000000325401CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     004731861000109INTERALLI ADMINISTRACAO E PARTICIP      AVENIDA PORTUARIA,0                     PARANAGUA                               83221570PR35783000030341911699706/3     24052012016CURITIBA            0507201200000000000325498CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     013583579000104QUALY ENGENHARIA LTDA                   RUA DOM CESARIO,360                     IMPERATRIZ                              65903230MA35784000010333157097385/3     22022012800UNIBANCO S/A        1506201200000000001212806CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     077911261000198INDUSTRIA DE COMPENSADOS GUARARAPE      RUA ALCINDA SANTOS ARAUJO,411           PALMAS                                  85555000PR35785000010340623599409       14052012800UNIBANCO S/A        1106201200000000000373963CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     077911261000198INDUSTRIA DE COMPENSADOS GUARARAPE      RUA ALCINDA SANTOS ARAUJO,411           PALMAS                                  85555000PR35785000020340624399409/2     14052012800UNIBANCO S/A        1806201200000000000373963CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     077911261000198INDUSTRIA DE COMPENSADOS GUARARAPE      RUA ALCINDA SANTOS ARAUJO,411           PALMAS                                  85555000PR35785000030340625199409/3     14052012800UNIBANCO S/A        2506201200000000000374075CC                                                                                                                                                                                                                                                                                                                                                                                                         000028
