0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             16072013                                                                                                                                                                                                                                                                                                                                                                                      000001
1008421022487COBR_CAUC_COR  EBP - EMPRESA BRASILEIRA DE PESCADO     033304981000110SUPERMERCADOS MUNDIAL LTDA              RUA  DONA EMILIA, 2                     RIO DE JANEIRO                          20765110RJ4307200001016286330019926/    29062013900BRADESCO S/A        2207201300000000032130000CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1048421003043COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     000417504000101QUEBRAMAR IND. E COMERCIO DE CARNE      RUA DOUTOR ELOI S/N LOTE 1              SAO JOAO DE MER                         18681030RJ430730000100032742024463-001  15072013900BRADESCO S/A        2207201300000000016722350CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1032421019512COBR_CAUC_COR  GEOTESC FUNDACOES LTDA                  007437570000192SEIXAS ENGENHARIA E CONSTRUCOES LT      RUA ALFREDO TROMPOWISKI ,437            ITAJAI                                  88303140SC430710000102013780650.1       12072013900BRADESCO S/A        1809201300000000012666800CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1019421010259COBR_CAUC_COR  L & S INTERBANK FOMENTO LTDA            061082004000584MANUFATURA DE BRINQUEDOS ESTRELA S      R. ROUPE TILKIAN, 375 BLO A             ITAPIRA                                 13986000SP4307000001067576900001-2      11072013900BRADESCO S/A        1108201300000000014371990CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1006441006860COBR_CAUC_COR  MONT GRANITOS S/A                       007204217000243CALILA ADMINISTRACAO E COMERCIO SA      R. CONSUL ASSAF TRAD,4634               CAMPO GRANDE                            79062200MS430680000109587582895         12072013900BRADESCO S/A        1908201300000000010278278CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               003684434000227DISKPAR LOGISTICA E AUTOMACAO LTDA      LOURENCO BELLOLI,877                    OSASCO                                  06268110SP430690000102066351042813      15072013007PAULISTA            1510201300000000034200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1007421034080COBR_CAUC_COR  SIDMEX INTERNACIONAL LTDA               000443902000283SINCOM IMPORTACAO E EXPORTACAO LTD      R AMAZONAS DA SILVA 173                 SAO PAULO                               02051000SP43094000010196449510040       11062013900BRADESCO S/A        3008201300000000010655784CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1007421034080COBR_CAUC_COR  SIDMEX INTERNACIONAL LTDA               000443902000283SINCOM IMPORTACAO E EXPORTACAO LTD      R AMAZONAS DA SILVA 173                 SAO PAULO                               02051000SP43094000020196450910042       11062013900BRADESCO S/A        3008201300000000011231977CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1007421034080COBR_CAUC_COR  SIDMEX INTERNACIONAL LTDA               000443902000283SINCOM IMPORTACAO E EXPORTACAO LTD      R AMAZONAS DA SILVA 173                 SAO PAULO                               02051000SP43093000010195641710036       10062013900BRADESCO S/A        3008201300000000005192752CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1007421034080COBR_CAUC_COR  SIDMEX INTERNACIONAL LTDA               000443902000283SINCOM IMPORTACAO E EXPORTACAO LTD      R AMAZONAS DA SILVA 173                 SAO PAULO                               02051000SP43093000020195642510037       10062013900BRADESCO S/A        3008201300000000002557296CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1007421034080COBR_CAUC_COR  SIDMEX INTERNACIONAL LTDA               000443902000283SINCOM IMPORTACAO E EXPORTACAO LTD      R AMAZONAS DA SILVA 173                 SAO PAULO                               02051000SP43093000030195643310038       10062013900BRADESCO S/A        3008201300000000002771774CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1007421034080COBR_CAUC_COR  SIDMEX INTERNACIONAL LTDA               000443902000283SINCOM IMPORTACAO E EXPORTACAO LTD      R AMAZONAS DA SILVA 173                 SAO PAULO                               02051000SP43093000040195644110039       10062013900BRADESCO S/A        3008201300000000005160758CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1007421034080COBR_CAUC_COR  SIDMEX INTERNACIONAL LTDA               000443902000283SINCOM IMPORTACAO E EXPORTACAO LTD      R AMAZONAS DA SILVA 173                 SAO PAULO                               02051000SP43092000010195640910035       10062013900BRADESCO S/A        3008201300000000015664588CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
9000009                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000015
