0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             06032014                                                                                                                                                                                                                                                                                                                                                                                      000001
1019421004658COBR_CAUC_COR  S/A ESTADO DE MINAS                     005423963000111OI MOVEL S A                            SAI SUL ASP 0 LOTE D BLOCO B            BRASILIA                                71215000DF4661500001012829102234294-1   28022014900BRADESCO S/A        1503201400000000013200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1031421009896COBR_CAUC_COR  LATICINIOS LATCO LTDA                   001693848000297VERDINI MEIRELES REPRESENTACOES LT      AV. BRASIL, 12980 - RUA DO FEIJAO, 530  RIO DE JANEIRO                          21012350RJ466160000101017487177899/1    28022014900BRADESCO S/A        0803201400000000011158832CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1031421009896COBR_CAUC_COR  LATICINIOS LATCO LTDA                   093015006001438COMPANHIA ZAFFARI COM. INDUSTRIA        AV. PLINIO BRASIL MILANO, 1000          PORTO ALEGRE                            90520000RS466170000101017517177902/1    28022014900BRADESCO S/A        0504201400000000010238031CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1018421034834COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             007723218000113DN DISTRIBUIDORA E REPRESENTACOES       ROD. BR 316, KM 28                      BENEVIDES                               67033000PA4661800001036226420308131     28022014050BELEM               0804201400000000011887600CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1018421034834COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             007723218000113DN DISTRIBUIDORA E REPRESENTACOES       ROD. BR 316, KM 28                      BENEVIDES                               67033000PA4661800002036226510308132     28022014050BELEM               1804201400000000011887600CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1014420939021COBR_CAUC_COR  EDITORA O DIA S/A                       060444437000146LIGHT SERV DE ELETRICIDADE S/A          AV.MAL FLORIANO 168 CENTRO CULTURA      RIO DE JANEIRO                          20080002RJ4661900001025366440696077     20082013900BRADESCO S/A        3003201400000000020000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1007421065309COBR_CAUC_BIC  OCEANO IND.GRAFICA E EDITORA LTDA       046377727000193CONFECCOES CAEDU LTDA                   RUA BRESSER,1150                        SAO PAULO                               03053000SP4662000001027091111521        01032014007PAULISTA            3003201400000000010150000CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1049421000093COBR_CAUC_BIC  VALPASA INDUSTRIA DE PAPEL LTDA         088059654000131CAETE S/A.                              AV. DOS MUNICIPIOS,6275                 CAMPO BOM                               93700000RS46621000010043464948914/-A    01032014015PORTO ALEGRE        1803201400000000010426829CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1049421000093COBR_CAUC_BIC  VALPASA INDUSTRIA DE PAPEL LTDA         088059654000131CAETE S/A.                              AV. DOS MUNICIPIOS,6275                 CAMPO BOM                               93700000RS46621000020043465748914/-B    01032014015PORTO ALEGRE        0204201400000000010426828CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1049421000093COBR_CAUC_BIC  VALPASA INDUSTRIA DE PAPEL LTDA         088059654000131CAETE S/A.                              AV. DOS MUNICIPIOS,6275                 CAMPO BOM                               93700000RS46621000030043466548914/-C    01032014015PORTO ALEGRE        1704201400000000010426828CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1049421000093COBR_CAUC_BIC  VALPASA INDUSTRIA DE PAPEL LTDA         088059654000131CAETE S/A.                              AV. DOS MUNICIPIOS,6275                 CAMPO BOM                               93700000RS46621000040043467348914/-D    01032014015PORTO ALEGRE        0205201400000000010426828CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
