0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             08102012                                                                                                                                                                                                                                                                                                                                                                                      000001
1031421010312COBR_CAUC_COR  PADO S/A - INDL.COML E IMPORTADORA      019166917000199EMBRASIL EMPRESA BRASILEIRA DISTRI      BR. 40 KM. 517 S/N                      RIBEIRAO DAS NE                         33861410MG3818500001050585440014962701  19092012900BRADESCO S/A        0412201200000000025806620CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1031421010312COBR_CAUC_COR  PADO S/A - INDL.COML E IMPORTADORA      076639285000924FERGS. NEGRAO COML. LTDA.               R. PROF. ALGACYR MUNHOZ MADER 2800      SAO LUIS                                81310020MA3818600001050586500015150501  28092012900BRADESCO S/A        2311201200000000010615947CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000109887731001864      24092012007PAULISTA            2410201200000000011937969CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000209887749001948      02102012007PAULISTA            0111201200000000011998897CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000309887757001938      01102012007PAULISTA            3110201200000000012001379CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000409887765001937      01102012007PAULISTA            3110201200000000012001379CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000509887773001931      28092012007PAULISTA            2610201200000000011977052CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000609887781001911      26092012007PAULISTA            2610201200000000012968019CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000709887790001903      25092012007PAULISTA            2510201200000000012125393CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000809887803001866      24092012007PAULISTA            2410201200000000011937969CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870000909887811001865      24092012007PAULISTA            2410201200000000011937969CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP381870001009887820001949      02102012007PAULISTA            0111201200000000011998897CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1050421000089COBR_CAUC_BIC  ATIVO ALIMENTOS EXP E IMP EIRELI        011596442003427CARVALHO E FERNANDES LTDA               AVE DEPUTADO PAULO FERRAZ 4888          TERESINA                                64078820PI381880000100386757156496/1    04102012041TERESINA            0311201200000000018090869CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
9000004                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000015
