0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             14082012                                                                                                                                                                                                                                                                                                                                                                                      000001
1042421001629DIR_CREDIT     PAVITECNICA ENGENHARIA LTDA             000394429012460COMANDO DA AERONAUTICA                  AV DOS LIBANESES 29 - TIRIRICAL         SãO LUIS                                65055040MA3715400001                                                                                                                                          011955122           120120100000011239053/CLA/200910082012000401Recuperação do pavimento da pista de pouso e decolagem do aeródromo do centro de lançamento de alcantara, em Alcantara - MA.                                                                                                                    007882412000141              000002
1015141021638COBR_CAUC_COR  SERRA MORENA CORRETORA LTDA             079044871000167MOLINO ROSSO LTDA                       AVENIDA IRAI, 77                        OSASCO                                  83321000SP371610000100956762995         01082012900BRADESCO S/A        0310201200000000047400000TD                                                                                                                                                                                                                                                                                                                                                                                                         000003
1018421014540COBR_CAUC_COR  IND E COM DE BEBIDAS IMPERIAL S/A       010385998000143SAMPAIO & MORAES LTDA                   ROD BR 136, KM 25                       BENEVIDES                               68795000PA371620000100248588749696-6/1  10082012900BRADESCO S/A        2408201200000000010980716CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000010979448114935/1     06082012021CAMPINAS            1110201200000000001220100CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000020979464314935/2     06082012021CAMPINAS            2310201200000000001220100CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000030979463514935/3     06082012021CAMPINAS            0111201200000000001220100CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000040979462714935/4     06082012021CAMPINAS            1211201200000000001220100CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000050979461914935/5     06082012021CAMPINAS            2311201200000000001220100CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000060979460114935/6     06082012021CAMPINAS            0312201200000000001223473CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000070979459714940/1     06082012021CAMPINAS            0510201200000000000771700CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000080979458914940/2     06082012021CAMPINAS            1710201200000000000771700CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000090979457114940/3     06082012021CAMPINAS            2610201200000000000771700CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000100979456214940/4     06082012021CAMPINAS            0511201200000000000771700CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000110979455414940/5     06082012021CAMPINAS            1611201200000000000771700CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000120979454614940/6     06082012021CAMPINAS            2711201200000000000774056CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000130979453814945/1     06082012021CAMPINAS            0110201200000000001354900CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000140979452014945/2     06082012021CAMPINAS            1910201200000000001354900CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000150979451114945/3     06082012021CAMPINAS            3010201200000000001354900CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000160979450314945/4     06082012021CAMPINAS            0811201200000000001354900CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000170979449014945/5     06082012021CAMPINAS            2111201200000000001354900CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1038421020480COBR_CAUC_BIC  LIONFER INDUSTRIA METALURGICA LTDA      001599436000454AMSTED - MAXION FUND. E EQUIP. FER      RUA DR.OTHON BARCELLOS,77               CRUZEIRO                                12730010SP37174000180979465114945/6     06082012021CAMPINAS            2911201200000000001358554CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1046421007255COBR_CAUC_BIC  MAESTRO DO BRASIL IND METALUR LTDA      035247675000114J. ABREU COM. DE MAT. P/ PINTURA E      RUA EDUARDO BEZERRA,78                  FORTALEZA                               60130270CE37175000010152652222696-1/1   17072012003CENTRO              1608201200000000002370135CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1046421007255COBR_CAUC_BIC  MAESTRO DO BRASIL IND METALUR LTDA      035247675000114J. ABREU COM. DE MAT. P/ PINTURA E      RUA EDUARDO BEZERRA,78                  FORTALEZA                               60130270CE37175000020153623422696-1/2   17072012003CENTRO              3108201200000000002370135CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1046421007255COBR_CAUC_BIC  MAESTRO DO BRASIL IND METALUR LTDA      035247675000114J. ABREU COM. DE MAT. P/ PINTURA E      RUA EDUARDO BEZERRA,78                  FORTALEZA                               60130270CE37175000030153624222696-1/3   17072012003CENTRO              1509201200000000002370135CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1046421007255COBR_CAUC_BIC  MAESTRO DO BRASIL IND METALUR LTDA      035247675000114J. ABREU COM. DE MAT. P/ PINTURA E      RUA EDUARDO BEZERRA,78                  FORTALEZA                               60130270CE37175000040153625122696-1/4   17072012003CENTRO              3009201200000000002370135CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
1046421007255COBR_CAUC_BIC  MAESTRO DO BRASIL IND METALUR LTDA      035247675000114J. ABREU COM. DE MAT. P/ PINTURA E      RUA EDUARDO BEZERRA,78                  FORTALEZA                               60130270CE37175000050153626922696-1/5   17072012003CENTRO              1510201200000000002370136CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
9000005                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000028
