0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             19042012                                                                                                                                                                                                                                                                                                                                                                                      000001
1032420932087COBR_CAUC_BIC  TEXTIL RENAUXVIEW S/A                   005502202000236IBERPUNTO IND TEXTIL SA                 R FREDERICO JENSEN 483                  BLUMENAU                                89066300SC34884000010046662159175/A     17042012032BLUMENAU            1506201200000000013344660CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           048295562001450USINA ALTO ALEGRE S A - ACUCAR E A      RUA JOSE LEITE, 40 JD BONGIOVANI BR     PRESIDENTE PRUD                         19050910SP34885000010631624378-2-2      17042012900BRADESCO S/A        0305201200000000013429435CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           048295562001450USINA ALTO ALEGRE S A - ACUCAR E A      RUA JOSE LEITE, 40 JD BONGIOVANI BR     PRESIDENTE PRUD                         19050910SP34885000020631656173-02-2     16042012900BRADESCO S/A        0205201200000000014800519CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1007421053971COBR_CAUC_BIC  VIDA ALIMENTOS LTDA                     011457034000126GOOD MEAL COM E TRANSP DE PROD ALI      RUA ARARIPE, 206                        SAO PAULO                               03215010SP3488600001011878980004317101  17042012007PAULISTA            1505201200000000015504000CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1022421007495COBR_CAUC_BIC  TECUMSEH DO BRASIL LTDA                 033079641000132EVEREST REFRIGERACAO INDUSTRIA E C      RUA CARDOSO QUINTAO ,914                RIO DE JANEIRO                          21381460RJ34887000010431925649550/1     17042012014RIO DE JANEIRO      0205201200000000012525282CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1022421007495COBR_CAUC_BIC  TECUMSEH DO BRASIL LTDA                 033079641000132EVEREST REFRIGERACAO INDUSTRIA E C      RUA CARDOSO QUINTAO ,914                RIO DE JANEIRO                          21381460RJ34887000020431926449552/1     17042012014RIO DE JANEIRO      0205201200000000011386620CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1036421018985COBR_CAUC_COR  PEEQFLEX INDUSTRIA E COMERCIO LTDA      003861512000130IND. ALIMENTICIA MARATA LTDA.           Br 101, Km 118, S/N  Caixa Postal 03    ITAPORANGA DAJU                         49120000SE3488800001058591336015450-01  17042012800UNIBANCO S/A        0106201200000000012267437CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1029421012194COBR_CAUC_COR  SELETA IND COM E SERV DE CONC LTDA      006372009000100MARIANTE DE JESUS CORUJA                RUA OTTO ALFREDO MULLER, N71, SALA      TRAMANDAI                               95590000RS348890000100104025MQN050612   18042012900BRADESCO S/A        0506201200000000012000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1032421020308COBR_CAUC_COR  OTM SOLUCOES LOGISTICAS LTDA            008283205000133CODIME COMERCIO E DISTRIBUICAO DE       RODOVIA BR 101 KM 116,3136              ITAJAI                                  88317100SC34890000010000197125098773    17042012900BRADESCO S/A        1705201200000000013654687CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1010421000376DIR_CREDIT     NORDESTE TRANSPORTE DE VALORES LTDA     017227422005913GERDAU ACOMINAS S/A                     AV JOAO XXII, 6777 SANTA CRUZ           RIO DE JANEIRO                          23560900RJ3489300001                                                                                                                                          011276870           240320000000000845            03032011000453PRESTAÁ„O DE SERVIÁOS DE VIGIL„NCIA OSTENSIVA.                                                                                                                                                                                                  005194878000129              000011
1010421000376DIR_CREDIT     NORDESTE TRANSPORTE DE VALORES LTDA     004471564000163TECON SUAPE S/A                         AVENIDA PORTUARIA, S/N, DIST DE SUAPE   IPOJUCA                                 55590000PE3489400001                                                                                                                                          011276870           101120030000000847020703/70   03032011000453PRESTAÁ„O DE SERVIÁOS DE VIGIL„NCIA OSTENSIVA.                                                                                                                                                                                                  005194878000129              000012
1010421000376DIR_CREDIT     NORDESTE TRANSPORTE DE VALORES LTDA     051427102000129TECNOLOGIA BANCARIA S/A                 AV ANDROMEDA , 2000 ALPAHAVILLE         BARUERI                                 06455000SP3489500001                                                                                                                                          011276870           010720020000000852010702/64   03032011000453PRESTAÁ„O DE SERVIÁOS DE TRANSPORTE DE VALORES E/OU ABASTECIMENTO E RETIRADA DE INSUMOS E NUMERARIOS NOS EQUIPAMENTOS DE AUTO-ATENDIMENTO DE PROPRIEDADE OU ADMINISTRAÁ„O DA CONTRATANTE.                                                       005194878000129              000013
