0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             28082012                                                                                                                                                                                                                                                                                                                                                                                      000001
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001096USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR374810000106353271188612-1-1  21082012016CURITIBA            3008201200000000025707156CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1050421000089COBR_CAUC_COR  ATIVO ALIMENTOS LTDA                    007164263000185KADAO INDUSTRIA DE ALIMENTOS LTDA       ROD GO 206 KM 01 0                      CACU                                    75813000GO374820000100375518150390/1    25082012800UNIBANCO S/A        0809201200000000010713990CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1050421000089COBR_CAUC_BIC  ATIVO ALIMENTOS LTDA                    028664456000337SUPERMERCADO CRISTAL LTDA               RUA ANTONIO JOSE BITTENCOURT 429        RIO DE JANEIRO                          26535000RJ374830000100375526150393/1    25082012014RIO DE JANEIRO      0809201200000000023924266CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1046421007085COBR_CAUC_COR  H.F.SISTEMAS DE FREIO LTDA              022763502001774PEMAZA AMAZONIA S/A -AM                 R. PALMERA DO MERITI, 375               MANAUS                                  69075215AM374840000101564165009458      27082012900BRADESCO S/A        0910201200000000011877547CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      005515209000101DARIA DIOGENES SALDANHA EPP             RUA E,,872-TERREO                       JAGUARIBE                               63475000CE3749900001050140910041425/01  06082012800UNIBANCO S/A        0309201200000000000222000CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      005515209000101DARIA DIOGENES SALDANHA EPP             RUA E,,872-TERREO                       JAGUARIBE                               63475000CE3749900002050141050041425/02  06082012800UNIBANCO S/A        0809201200000000000222000CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      005515209000101DARIA DIOGENES SALDANHA EPP             RUA E,,872-TERREO                       JAGUARIBE                               63475000CE3749900003050142110041425/03  06082012800UNIBANCO S/A        1309201200000000000222000CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      006954615000133CARLA DANIELE SILVA OLIVEIRA ME         RUA 7 DE SETEMBRO, ,245                 JAGUARIBE                               63475000CE3750000001050140320041423/01  06082012800UNIBANCO S/A        0309201200000000000228000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      006954615000133CARLA DANIELE SILVA OLIVEIRA ME         RUA 7 DE SETEMBRO, ,245                 JAGUARIBE                               63475000CE3750000002050140410041423/02  06082012800UNIBANCO S/A        0809201200000000000228000CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      006954615000133CARLA DANIELE SILVA OLIVEIRA ME         RUA 7 DE SETEMBRO, ,245                 JAGUARIBE                               63475000CE3750000003050140590041423/03  06082012800UNIBANCO S/A        1309201200000000000228000CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      011845605000108F DE LOPES OLIVEIRA ME                  RUA LUIZ PINTO, ,42                     JAGUARIBE                               63475000CE3750100001050140670041424/01  06082012800UNIBANCO S/A        0309201200000000000534000CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      011845605000108F DE LOPES OLIVEIRA ME                  RUA LUIZ PINTO, ,42                     JAGUARIBE                               63475000CE3750100002050140750041424/02  06082012800UNIBANCO S/A        0809201200000000000534000CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      011845605000108F DE LOPES OLIVEIRA ME                  RUA LUIZ PINTO, ,42                     JAGUARIBE                               63475000CE3750100003050140830041424/03  06082012800UNIBANCO S/A        1309201200000000000534000CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      003797303000175A. DE OLIVEIRA LOPES FRIGO FRIOS E      PRACA SEN FERNANDES TAVORA, TERR,4      JAGUARIBE                               63475000CE3750200001050141130041422/03  06082012800UNIBANCO S/A        1309201200000000000675000CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      003797303000175A. DE OLIVEIRA LOPES FRIGO FRIOS E      PRACA SEN FERNANDES TAVORA, TERR,4      JAGUARIBE                               63475000CE3750200002050141210041422/02  06082012800UNIBANCO S/A        0809201200000000000675000CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      003797303000175A. DE OLIVEIRA LOPES FRIGO FRIOS E      PRACA SEN FERNANDES TAVORA, TERR,4      JAGUARIBE                               63475000CE3750200003050142020041422/01  06082012800UNIBANCO S/A        0309201200000000000675000CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      003788901000188FRIGORIFICO DALIA & MACHADO LTDA        RUA ARTHUR TAVRSE MELO,,1848            ITAMBE                                  55920000PE3750300001050141560059112/01  06082012900BRADESCO S/A        1209201200000000000685800CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      003788901000188FRIGORIFICO DALIA & MACHADO LTDA        RUA ARTHUR TAVRSE MELO,,1848            ITAMBE                                  55920000PE3750300002050141640059112/02  06082012900BRADESCO S/A        1709201200000000000685800CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1031421006919COBR_CAUC_COR  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      003788901000188FRIGORIFICO DALIA & MACHADO LTDA        RUA ARTHUR TAVRSE MELO,,1848            ITAMBE                                  55920000PE3750300003050141720059112/03  06082012900BRADESCO S/A        2209201200000000000685800CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1031421006919COBR_CAUC_BIC  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      012229008000103SUPERMERCADO CORDEIRO LEAO LTDA         RUA SALVATORI, ,1600                    SAO GONCALO                             24421005RJ3750400001050141810016806/01  06082012014RIO DE JANEIRO      0309201200000000001053000CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1031421006919COBR_CAUC_BIC  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      012229008000103SUPERMERCADO CORDEIRO LEAO LTDA         RUA SALVATORI, ,1600                    SAO GONCALO                             24421005RJ3750400002050141990016806/02  06082012014RIO DE JANEIRO      1009201200000000001053000CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1031421006919COBR_CAUC_BIC  AVEBOM INDUSTRIA DE ALIMENTOS LTDA      028997039000144RESTAURANTE VIA MAR I LTDA              RUA MIGUEL COUTO ,143                   RIO DE JANEIRO                          20070030RJ3750500001050141480076700/01  06082012014RIO DE JANEIRO      1009201200000000002577600CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
9000011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000024
