0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             28072011                                                                                                                                                                                                                                                                                                                                                                                      000001
1043481008938DIR_CREDIT     MK CONSTRUCOES LTDA                     005055128000680UNIVERSIDADE FEDERAL DE CAMPINA GRANDE  SITIO OLHO D'AGUA DA BICA, S/N, Z RURAL CUITE                                   58175000PB2918600001                                                                                                                                          011524462           11012010000001213001/2010     22072011000403CONSTRUÇÃO DA CENTRAL DE LABORATORIOS - CAMPUS DE SUME - UFCG.                                                                                                                                                                                  006074105000171              000002
1010421005513DIR_CREDIT     CONSTRUTORA CAMILO BRITO LTDA           003206056000195CEHAB - CIA ESTADUAL DE HABITACAO E OBRARUA ODORICO MENDES, 700 - CAMPO GRANDE  RECIFE                                  52031080PE2920800001                                                                                                                                          011485968           190620080000012661028/2008    22062011000453EXECUÇÃO PELO REGIME DE EMPREITADA POR PREÇO UNITÁRIO DAS OBRAS E DOS  SERVIÇOS PARA IMPLANTAÇÃO DO PROJETO DE URBANIZAÇÃO UE-17 - PASSARINHO / ALTO  DA BONDADE/PAC (PT N 218.760-07) NO MUNICIPIO DE OLINDA - CONCORRENCIA 004/2008           008824641000172              000003
1042421006914DIR_CREDIT     M J EMPREENDIMENTOS LTDA                002973240000106SECRETARIA DE ESTADO DA SAUDE DO MA     AV CARLOS CUNHA S/N JARACATY            SAO LUIS                                65076908MA2923300001                                                                                                                                          481011523           281020090000012161140/2009    26072011000404Contrata, através de credenciamento, usinas de beneficiamento de leite que deseharem participar do programa "leite é vida" para captar nos tanques de resfriamento, beneficiar, transportar e distribuir aos Municípios selecionados.           004879027000157              000004
1007421006183COBR_CAUC_BIC  NITRIFLEX S/A IND E COMERCIO            015179682002243RHODIA POLIAMIDA E ESPECIALIDADES       AV.DOS ESTADOS, 6144                    SANTO ANDRE                             09290520SP292980000100697060001054001   25072011038ABC                 2609201100000000014126949CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1031420932046COBR_CAUC_BIC  PALMALI INDL.DE ALIMENTOS LTDA          097191902000194CONSERVAS ODERICH SA                    RUA ODERICH,807                         SAO SEBASTIAO D                         95760000RS2929900001049039767788        26072011015PORTO ALEGRE        2508201100000000010500000CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1048421000354COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     006091150000134COM ATACADISTA NOVA VIDA LTDA           RUA DONA ANA AURORA, 1010               RECIFE                                  50870540PE2930000001001945727436        27072011900BRADESCO S/A        0208201100000000016019982CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1048421000354COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     007715769000135AKI CARNES COMERCIO LTDA                RUA SILVESTRE AGOSTINHO SALES 248       JABOATAO DOS GU                         18681030PE2930100001001945817444        27072011900BRADESCO S/A        0208201100000000015947293CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1048421000354COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     010142068000169FRIGOMIX INDUSTRIA E COM DE CARNES      RUA AYRTON SENNA DA SILVA, 820          ITAGUAI                                 23810760RJ2930200001001945647441        27072011900BRADESCO S/A        0208201100000000015809890CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1017421002942COBR_CAUC_BIC  BIOMEDICA PRODUTOS MEDICOS LTDA         001454407000151CARDIODINAMICA S.C LTDA                 RUA HUGO CORREIA PAZ,253                MACEIO                                  57050730AL293310000102540224199-1       04052011017MACEIO              0308201100000000000900000CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1017421002942COBR_CAUC_BIC  BIOMEDICA PRODUTOS MEDICOS LTDA         001454407000151CARDIODINAMICA S.C LTDA                 RUA HUGO CORREIA PAZ,253                MACEIO                                  57050730AL293310000202540232200-1       04052011017MACEIO              0308201100000000000900000CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1017421002942COBR_CAUC_BIC  BIOMEDICA PRODUTOS MEDICOS LTDA         001454407000151CARDIODINAMICA S.C LTDA                 RUA HUGO CORREIA PAZ,253                MACEIO                                  57050730AL293310000302540241201-1       04052011017MACEIO              0308201100000000000900000CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1017421002942COBR_CAUC_BIC  BIOMEDICA PRODUTOS MEDICOS LTDA         001454407000151CARDIODINAMICA S.C LTDA                 RUA HUGO CORREIA PAZ,253                MACEIO                                  57050730AL293310000402543827224         14062011017MACEIO              1209201100000000000900000CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1017421002942COBR_CAUC_BIC  BIOMEDICA PRODUTOS MEDICOS LTDA         001454407000151CARDIODINAMICA S.C LTDA                 RUA HUGO CORREIA PAZ,253                MACEIO                                  57050730AL293310000502543835225         14062011017MACEIO              1209201100000000000900000CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1017421002942COBR_CAUC_BIC  BIOMEDICA PRODUTOS MEDICOS LTDA         001454407000151CARDIODINAMICA S.C LTDA                 RUA HUGO CORREIA PAZ,253                MACEIO                                  57050730AL293310000602545587234         29062011017MACEIO              2709201100000000002700000CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
