0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             19092012                                                                                                                                                                                                                                                                                                                                                                                      000001
1007421056385COBR_CAUC_COR  TERRA NOVA TRADING S/A                  005946663000117MXT-CENTER COMERCIO DE PRODUTOS EL      RUA AURORA, ,147                        SAO PAULO                               01209001SP378900000100000280TI08302-00  18092012900BRADESCO S/A        2409201200000000011587851CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   005207680000132ATENDE DISTRIBUIDORA S/A                AV JOSE CARLOS COSTA 688 KM 18 BR 040   RIBEIRAO DAS NE                         33822722MG3789100001050485650009654901  18092012800UNIBANCO S/A        2310201200000000010808332CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   017745613000150SUPERMERCADO BAHAMAS LTDA               RODOVIA BR 040 780                      JUIZ DE FORA                            36092005MG3789200001050485730009655101  18092012800UNIBANCO S/A        1810201200000000010749884CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP378930000101458883002497      14092012007PAULISTA            1710201200000000024804030CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP378930000201458891002498      14092012007PAULISTA            1710201200000000029391395CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1038421020897COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        009363567000105PREMIX BRASIL RESINAS LTDA              AL ARAGUAIA,2044                        BARUERI                                 06455000SP378940000109855022001752      13092012007PAULISTA            2610201200000000011608807CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1038421020897COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        009363567000105PREMIX BRASIL RESINAS LTDA              AL ARAGUAIA,2044                        BARUERI                                 06455000SP378940000209855120001755      13092012007PAULISTA            2610201200000000011608807CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1038421020897COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        009363567000105PREMIX BRASIL RESINAS LTDA              AL ARAGUAIA,2044                        BARUERI                                 06455000SP378940000309855138001754      13092012007PAULISTA            2610201200000000011608807CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1038421020897COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        009363567000105PREMIX BRASIL RESINAS LTDA              AL ARAGUAIA,2044                        BARUERI                                 06455000SP378940000409855146001753      13092012007PAULISTA            2610201200000000011608807CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1038421020897COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP378950000109855031001767      14092012007PAULISTA            1110201200000000010840760CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1038421020897COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP378950000209855049001766      14092012007PAULISTA            1110201200000000010840760CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
