0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             28042014                                                                                                                                                                                                                                                                                                                                                                                      000001
1048421002195COBR_CAUC_COR  SERVIMED COMERCIAL LTDA                 003803500000150COOP DE USUARIOS DE ASSIT MEDI          R INDEPENDENCIA 4004                    SAO JOSE DO RIO                         15084110SP473150000101907521827465  21  17042014900BRADESCO S/A        2306201400000000016971228CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1048421002195COBR_CAUC_COR  SERVIMED COMERCIAL LTDA                 003803500000150COOP DE USUARIOS DE ASSIT MEDI          R INDEPENDENCIA 4004                    SAO JOSE DO RIO                         15084110SP473150000201907548827461  21  24042014900BRADESCO S/A        2306201400000000010167454CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1022421007525COBR_CAUC_COR  D. CENTER DISTRIBUIDORA LTDA            006161357000138CONDE NETO E CIA LTDA                   R CARAVELAS, 65 GALPAO A                SAO JOSE DOS CA                         12238170SP47316000010166333935547416    24042014900BRADESCO S/A        1206201400000000011446398CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000010286284010619       22042014007PAULISTA            0208201400000000019615671CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000020286285810620       22042014007PAULISTA            0208201400000000019275093CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000030286286610631       24042014007PAULISTA            0208201400000000020061666CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000040286287410632       24042014007PAULISTA            0208201400000000020321154CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000050286288210633       24042014007PAULISTA            0208201400000000020434680CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000060286289110634       24042014007PAULISTA            0208201400000000020604969CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000070286290410635       24042014007PAULISTA            0208201400000000019275093CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000080286291210636       24042014007PAULISTA            0208201400000000019769742CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000090286298010556       15042014007PAULISTA            0108201400000000019842723CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1007421065899COBR_CAUC_BIC  FORCE ONE IND E COM DE METAIS PLAST     001376079000112JOHNSON CONTROLS PS DO BRASIL LTDA      AV INDEPENDENCIA,2757                   SOROCABA                                18103000SP47317000100286299810557       15042014007PAULISTA            0108201400000000018780444CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
