0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             27052014                                                                                                                                                                                                                                                                                                                                                                                      000001
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       007209331000185REGINA AGROINDUSTRIAL S/A               ESTRADA DO AQUIRAZ,  801                FORTALEZA                               60840970CE4767900001001517980050309     24052014900BRADESCO S/A        2106201400000000013188600CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1007421072259COBR_CAUC_COR  BOMBRIL S/A                             002782071000623MEGAFORT DISTRIB IMP E EXP LTDA         AV WILSON TAVARES RIBEIR 1651, LUC1     CONTAGEM                                32183680MG4768000001029466870000018001  30042014900BRADESCO S/A        0906201400000000010803531CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1016421008591COBR_CAUC_BIC  GLOBOAVES SAO PAULO AGROAVICOLA LTD     083044016000980TYSON DO BRASIL ALIMENTOS LTDA          ROD BR 487 ESTR BOIADEIRA KM 185,0      CAMPO MOURAO                            87305380PR476810000104509071127559      23052014016CURITIBA            2006201400000000010584000CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1008421022487COBR_CAUC_COR  EBP - EMPRESA BRASILEIRA DE PESCADO     033381286000151SUPER MERCADO ZONA SUL S/A              RUA COMANDANTE VERGUEIRO DA CRUZ, 226   RIO DE JANEIRO                          21021020RJ4768200001017619960026515/    23052014900BRADESCO S/A        2606201400000000016000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865000151RAIA DROGASIL S/A                       AVENIDA CORIFEU DE AZEVEDO MARQUES, 3097SAO PAULO                               05339000SP4768300001000014370000328601  25052014007PAULISTA            1506201400000000016902819CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865000151RAIA DROGASIL S/A                       AVENIDA CORIFEU DE AZEVEDO MARQUES, 3097SAO PAULO                               05339000SP4768300002000014450000328801  25052014007PAULISTA            1506201400000000040960904CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     010877219000127EXITO SERVICOS FLORESTAIS               R BENJAMIN CONSTANT,334                 LAGES                                   88501110SC4769500001027726209423C       27022014700BANCO REAL- ABN AMRO1006201400000000002645000CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     010877219000127EXITO SERVICOS FLORESTAIS               R BENJAMIN CONSTANT,334                 LAGES                                   88501110SC4769500002027726389423D       27022014700BANCO REAL- ABN AMRO1007201400000000002645000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     010877219000127EXITO SERVICOS FLORESTAIS               R BENJAMIN CONSTANT,334                 LAGES                                   88501110SC4769500003027726469423E       27022014700BANCO REAL- ABN AMRO1008201400000000002645000CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     010877219000127EXITO SERVICOS FLORESTAIS               R BENJAMIN CONSTANT,334                 LAGES                                   88501110SC4769500004027726549423F       27022014700BANCO REAL- ABN AMRO1009201400000000002645000CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     010877219000127EXITO SERVICOS FLORESTAIS               R BENJAMIN CONSTANT,334                 LAGES                                   88501110SC4769500005027726629423G       27022014700BANCO REAL- ABN AMRO1010201400000000002645000CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
