0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    04102011                                                                                                                                                                                                                                                                                                                                                                                                000001
1046421004809DIR_CREDIT     INDUSTRIAL PAGE LTDA                    087754941000107IRMAOS TREVISAN SA - IND COM AGRICULTURAAVENIDA BRASIL, 791                     RIO GRANDE DO SUL                       96503491RS3082600001                                                                                                                                          481006115           260720110000019379            22092011000404REFERENTE FORNECIMENTO DE SILOS P/ ARMAZENAMENTO DE GRAOS.                                                                                                                                                                                      082563321000169146910-1      000002
1045000000000DIR_CREDIT     JOSE ANGELO DE OLIVEIRA ME              015134695000171VALE POTASSIO NORDESTE S/A              LOC KM 24 D, ROD. BR 324, S/N           SIMOES FILHO                            43700000BA3083700001                                                                                                                                          481011820           1504201100000192427282        22092011000404Prestação de serviços de içamento de cargas a serem executados nas instalações da Vale Potássio Nordeste no Município Rosário do Catete, SE.                                                                                                    001998800000106146910-2      000003
1016421013250COBR_CAUC_COR  INSOL INTE.DO BRASIL IND E COM S/A      005553578000512ATLAS AGROINDUSTRIAL LTDA               AV JOAO NEVES VIEIRA,1071-SALA B        CATALAO                                 75706013GO3097800001031933212602/4      29092011800UNIBANCO S/A        2510201100000000020200000CC                                                                                                                                                                                                                                                                                                                                                                                           146910-3      000004
1016421013250COBR_CAUC_COR  INSOL INTE.DO BRASIL IND E COM S/A      005553578000512ATLAS AGROINDUSTRIAL LTDA               AV JOAO NEVES VIEIRA,1071-SALA B        CATALAO                                 75706013GO3097800002031933392602/5      29092011800UNIBANCO S/A        2610201100000000020200000CC                                                                                                                                                                                                                                                                                                                                                                                           146910-4      000005
1016421013250COBR_CAUC_COR  INSOL INTE.DO BRASIL IND E COM S/A      005553578000512ATLAS AGROINDUSTRIAL LTDA               AV JOAO NEVES VIEIRA,1071-SALA B        CATALAO                                 75706013GO3097800003031933472602/6      29092011800UNIBANCO S/A        2710201100000000020200000CC                                                                                                                                                                                                                                                                                                                                                                                           146910-5      000006
1016421013250COBR_CAUC_COR  INSOL INTE.DO BRASIL IND E COM S/A      005553578000512ATLAS AGROINDUSTRIAL LTDA               AV JOAO NEVES VIEIRA,1071-SALA B        CATALAO                                 75706013GO3097800004031933552602/6      29092011800UNIBANCO S/A        2810201100000000020200000CC                                                                                                                                                                                                                                                                                                                                                                                           146910-6      000007
1044421010977COBR_CAUC_BIC  FEDCO INDUSTRIA E COMERCIO LTDA         006626253012400EMPREENDIMENTOS PAGUE MENOS S/A         R. FRANCISCO CORDEIRO                   FORTALEZA                               60310490CE309790000101364071015156/1.1  27092011003CENTRO              0401201200000000017134574CC                                                                                                                                                                                                                                                                                                                                                                                           146910-7      000008
1021421015341COBR_CAUC_BIC  POLYDIST AMER LATINA C I E R PETR       009257039000163CAIUMA EMBALAGENS PLASTICAS LTDA        AV DR HUMBERTO GIANNELLA, ,622          BARUERI                                 06422130SP3098000001062018371028-01     27092011007PAULISTA            1511201100000000010221095CC                                                                                                                                                                                                                                                                                                                                                                                           146910-8      000009
1021421015341COBR_CAUC_BIC  POLYDIST AMER LATINA C I E R PETR       059264051000173TECTEXTIL EMBALAGENS TEXTEIS LTDA       RUA CAPITAO JOSE PINTO SIQUEI,1700      PIRACICABA                              13422150SP3098100001062018291030-01     27092011021CAMPINAS            0811201100000000010365374CC                                                                                                                                                                                                                                                                                                                                                                                           146910-9      000010
1018421017760COBR_CAUC_COR  RURAL RIO PRODUTOS AGRICOLAS LTDA       000021969752068JUARI BERTOLD                           RUA RIO VERDE,1150 Q-45 LT 6P           JATAI                                   75800093GO3102400001000014936927        27072011900BRADESCO S/A        2001201200000000037444000CC                                                                                                                                                                                                                                                                                                                                                                                           146910-10     000011
1032141016424DIR_CREDIT     DOUAT TEXTIL LTDA.                      001067479000146PM DE ANAPOLIS                          AV PRESIDENTE VARGAS, 465 VILA GOIAS    ANAPOLIS                                75115320GO3102500001                                                                                                                                          011440020           110220110000017619042/2011    16052011000404Aquisicão de kit escolar, Pregão eletrônico nº 095/2010, lote nº01, processo administrativo de nº000035993/2010.                                                                                                                                082610726000100146910-11     000012
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310270000104898638G74470/1    12072011800UNIBANCO S/A        0911201100000000001083018CC                                                                                                                                                                                                                                                                                                                                                                                           146910-12     000013
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000104898646G74471/1    13072011800UNIBANCO S/A        1011201100000000000883019CC                                                                                                                                                                                                                                                                                                                                                                                           146910-13     000014
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000204903089G74562/1    22072011800UNIBANCO S/A        1411201100000000000506509CC                                                                                                                                                                                                                                                                                                                                                                                           146910-14     000015
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000304903097G74562/2    22072011800UNIBANCO S/A        2111201100000000000506509CC                                                                                                                                                                                                                                                                                                                                                                                           146910-15     000016
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000404903267G74583/1    26072011800UNIBANCO S/A        2311201100000000000992018CC                                                                                                                                                                                                                                                                                                                                                                                           146910-16     000017
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000504903275G74584/1    22072011800UNIBANCO S/A        2110201100000000000606468CC                                                                                                                                                                                                                                                                                                                                                                                           146910-17     000018
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000604903283G74584/2    22072011800UNIBANCO S/A        2111201100000000000606468CC                                                                                                                                                                                                                                                                                                                                                                                           146910-18     000019
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000704904433G74621/1    29072011800UNIBANCO S/A        1710201100000000000505817CC                                                                                                                                                                                                                                                                                                                                                                                           146910-19     000020
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000804904441G74621/2    29072011800UNIBANCO S/A        1611201100000000000505817CC                                                                                                                                                                                                                                                                                                                                                                                           146910-20     000021
1031421001119COBR_CAUC_COR  GET GLOBAL ENERGY AND TELECOMMUNICA     006906651000121R.DA SILVA EQUIPAMENTOSME               RUA FRANCISCO PIERMANN 170              JARAGUA DO SUL                          89252500SC310280000904904450G74622/1    28072011800UNIBANCO S/A        2110201100000000000755615CC                                                                                                                                                                                                                                                                                                                                                                                           146910-21     000022
