0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    03082011                                                                                                                                                                                                                                                                                                                                                                                                000001
1046421000617COBR_CAUC_BIC  INPLAC INDUSTRIA DE PLASTICOS S/A       004716366000112EMBALAGENS FLEXIVEIS DIADEMA SA         AV FUNDIBEM ,184                        DIADEMA                                 09961390SP293750000101214474001163558   29072011038ABC                 0209201100000000010170477CC                                                                                                                                                                                                                                                                                                                                                                                           139600-1      000002
1007421006183COBR_CAUC_BIC  NITRIFLEX S/A IND E COMERCIO            036193928000187TEADIT IND. E COMERCIO LTDA.            AV.PASTOR MARTIN LUTHER KING JR, 8939   RIO DE JANEIRO                          21530012RJ293760000100706221001065501   29072011014RIO DE JANEIRO      1508201100000000031499990CC                                                                                                                                                                                                                                                                                                                                                                                           139600-2      000003
1008421003482COBR_CAUC_BIC  METALGRAFICA CEARENSE S/AMECESA         023814940000110UBERLANDIA REFRESCOS LTDA-UBERLAND      RUA TEREZINHA SEGADAES, 45              UBERLANDIA                              38405212MG29377000010840407202035101    29072011028UBERLANDIA          2608201100000000010274400CC                                                                                                                                                                                                                                                                                                                                                                                           139600-3      000004
1031420932046COBR_CAUC_BIC  PALMALI INDL.DE ALIMENTOS LTDA          097191902000194CONSERVAS ODERICH SA                    RUA ODERICH,807                         SAO SEBASTIAO D                         95760000RS2937800001049045067877        29072011015PORTO ALEGRE        2908201100000000010500000CC                                                                                                                                                                                                                                                                                                                                                                                           139600-4      000005
1014420939021COBR_CAUC_BIC  EDITORA O DIA S/A                       003848688000152SERVICO NAC.DE APREND.INDULTRIAL S      GRACA ARANHA 1 - 5 ANDAR SALA 502       RIO DE JANEIRO                          20030002RJ2937900001023514150602924     29072011014RIO DE JANEIRO      0109201100000000014400000CC                                                                                                                                                                                                                                                                                                                                                                                           139600-5      000006
1014420939021COBR_CAUC_BIC  EDITORA O DIA S/A                       010757237000175NOVA CASAS BAHIA S/A                    CONDE FRANCISCO MATARAZZO 100           SAO CAETANO DO                          09520900SP2938000001023522500603152     31072011038ABC                 2008201100000000026758896CC                                                                                                                                                                                                                                                                                                                                                                                           139600-6      000007
1016421019267COBR_CAUC_COR  COBRAZEM AGROINDUSTRIAL LTDA            084874726000496KAEFER AGRO INDUSTRIAL                  RUA MATE LARANJEIRAS,0                  TOLEDO                                  85900000PR2938100001031342860000188-01  25072011800UNIBANCO S/A        2408201100000000049950000CC                                                                                                                                                                                                                                                                                                                                                                                           139600-7      000008
1014421021575COBR_CAUC_COR  CESBRA QUIMICA S/A                      084684455006951TIGRE S A TUBOS E CONEXOES              RUA DOS BOROROS,84                      JOINVILLE                               89239290SC2938200001044676910006353/01  01082011600HSBC BANK BRASIL    0109201100000000011456000CC                                                                                                                                                                                                                                                                                                                                                                                           139600-8      000009
1028421001348DIR_CREDIT     ELETROSOM S/A                           062421979000129BANCO GE CAPITAL SA                     AV 9 DE JULHO, 5229, 11 ANDAR           SAO PAULO                               01406200SP2938900001                                                                                                                                          010724523           080620040000010310            27102009000453financiamento de compra dos produtos vendidos pela Rede Eletrosom.                                                                                                                                                                              022164990000136139600-9      000010
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     009537827000103TNB TRANSPORTES LTDA                    ROD BR 376 NR 3045                      SAO JOSE DOS PI                         83015000PR29397000010223798239550/04E   30042011016CURITIBA            2808201100000000000106750CC                                                                                                                                                                                                                                                                                                                                                                                           139600-10     000011
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     001226759000150MARCELO COIMBRA ME                      AV VICENTE J PARISE N849                TAQUARITINGA                            15900000SP29398000010223839339474/04E   30042011022RIBEIRAO PRETO      2808201100000000000107500CC                                                                                                                                                                                                                                                                                                                                                                                           139600-11     000012
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     004531909000127ESCAVA TRATORES PECAS E SERVICOS L      RUA DR ALVARO CAMARGO N2495 GP3         BELO HORIZONTE                          31565312MG29399000010229375148477/03E   07062011019BELO HORIZONTE      0509201100000000000108333CC                                                                                                                                                                                                                                                                                                                                                                                           139600-12     000013
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     000908095000146QUINTINO E ANDRADE LTDA                 RUA RUI BARBOSA N313                    PADRE BERNARDO                          73700000GO29400000010223044938746/04E   27042011900BRADESCO S/A        2508201100000000000108751CC                                                                                                                                                                                                                                                                                                                                                                                           139600-13     000014
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     041823089000173RETIFICA NSA SENHORA DO CARMO IND.      R.JOSE V.MELO ,265                      ARCOS                                   35588000MG29401000010227299144377/03E   23052011900BRADESCO S/A        2108201100000000000112844CC                                                                                                                                                                                                                                                                                                                                                                                           139600-14     000015
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     005278032000177PATRICIA MARIA XAVIER TEODORO EPP       RUA POVOA VARZIM N535                   BELO HORIZONTE                          31340060MG29402000010224478440119/04E   03052011019BELO HORIZONTE      3108201100000000000113300CC                                                                                                                                                                                                                                                                                                                                                                                           139600-15     000016
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     007372303000184ABELARDO SANTOS & CIA LTDA              R DR ANTONIO DINO NR 37                 SAO LUIS                                65030490MA29403000010223007438838/04E   27042011042SAO LUIS            2508201100000000000115001CC                                                                                                                                                                                                                                                                                                                                                                                           139600-16     000017
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     006975261000103RETINORTE RETIFICA NORTE LTDA EPP       AV.JOSE A.AZEVEDO,459                   CAMPOS DOS GOYT                         28025496RJ29404000010223113538721/04E   27042011014RIO DE JANEIRO      2508201100000000000119617CC                                                                                                                                                                                                                                                                                                                                                                                           139600-17     000018
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     002508492000156JOSE SAMPAIO FERNANDES                  RUA BR242 KM486 SN                      IBOTIRAMA                               47520000BA29405000010223076738479/04E   27042011900BRADESCO S/A        2508201100000000000122500CC                                                                                                                                                                                                                                                                                                                                                                                           139600-18     000019
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     005785873000170ODILON AUTO PECAS LTDA                  AV ABILIO MACHADO N4284                 CONTAGEM                                32110010MG29406000010224474140083/04E   03052011019BELO HORIZONTE      3108201100000000000131300CC                                                                                                                                                                                                                                                                                                                                                                                           139600-19     000020
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     003264824000167EROCI AUTO PECAS LTDA                   FOLHA 27 QD. 20 LT. 21                  MARABA                                  68509290PA29407000010223055438804/04E   27042011600HSBC BANK BRASIL    2508201100000000000135002CC                                                                                                                                                                                                                                                                                                                                                                                           139600-20     000021
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     032516544000105NAFIL AUTO PECAS LTDA                   AV PRESBITERIANA N464                   VOLTA REDONDA                           27281510RJ29408000010223025238658/04E   27042011014RIO DE JANEIRO      2508201100000000000135204CC                                                                                                                                                                                                                                                                                                                                                                                           139600-21     000022
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     004547155000101AUTO ROYAL LTDA.                        AV.JOSE R.DE JESUS,120                  CARUARU                                 55024000PE29409000010223711739617/04E   30042011600HSBC BANK BRASIL    2808201100000000000138654CC                                                                                                                                                                                                                                                                                                                                                                                           139600-22     000023
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     006225580000100RETIFICA MUNDIAL DE BARRETOS LTDA       RUA 30 NR 140                           BARRETOS                                14780615SP29410000010223107138794/04E   27042011600HSBC BANK BRASIL    2508201100000000000140700CC                                                                                                                                                                                                                                                                                                                                                                                           139600-23     000024
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     000012249645191ANTONIO CARLOS MACHADO E SILVA          PCA GAL JOAQUIM XAVIER CURADO N100      GOIANIA                                 74075270GO29411000010222947538700/04E   27042011018GOIANIA             2508201100000000000141250CC                                                                                                                                                                                                                                                                                                                                                                                           139600-24     000025
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     007223417000162A.L.S DE ALENCAR COMERCIO               AV BARAO GURGUEIA 3920                  TERESINA                                64018500PI29412000010223000738764/05E   27042011041TERESINA            1008201100000000000154501CC                                                                                                                                                                                                                                                                                                                                                                                           139600-25     000026
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     065339822000147AUTO PECAS SAO LUCAS LTDA               RUA CEL VIDAL N455                      JUIZ DE FORA                            36080080MG29413000010222896738903/04E   27042011600HSBC BANK BRASIL    2508201100000000000157000CC                                                                                                                                                                                                                                                                                                                                                                                           139600-26     000027
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     082563339000160MANOEL SALVATO PEREIRA                  R.ANTONIO BERTONCINI,401                ARARANGUA                               88900000SC29414000010223322739145/04E   28042011900BRADESCO S/A        2608201100000000000175000CC                                                                                                                                                                                                                                                                                                                                                                                           139600-27     000028
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     001608488000954HOHL MAQUINAS AGRICOLAS LTDA.           R DOS MISSIONARIOS NR 81                GOIANIA                                 74430360GO29415000010231411151462/02E   17062011018GOIANIA             1608201100000000000101297CC                                                                                                                                                                                                                                                                                                                                                                                           139600-28     000029
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     001608488000954HOHL MAQUINAS AGRICOLAS LTDA.           R DOS MISSIONARIOS NR 81                GOIANIA                                 74430360GO29415000020231413851462/03E   17062011018GOIANIA             1509201100000000000101297CC                                                                                                                                                                                                                                                                                                                                                                                           139600-29     000030
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     003929152000161RETIFICA PONTUAL LTDA ME                AV ZEZINHO HORACIO N800                 MONTES CLAROS                           39402669MG29416000010222904138815/05E   27042011600HSBC BANK BRASIL    2508201100000000000102400CC                                                                                                                                                                                                                                                                                                                                                                                           139600-30     000031
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     003929152000161RETIFICA PONTUAL LTDA ME                AV ZEZINHO HORACIO N800                 MONTES CLAROS                           39402669MG29416000020222906838815/04E   27042011600HSBC BANK BRASIL    1008201100000000000102400CC                                                                                                                                                                                                                                                                                                                                                                                           139600-31     000032
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     003439423000109MILVOLTS PECAS LTDA. ME                 RUA GUANABARA N97                       IMPERATRIZ                              65903380MA29417000010229060347933/02E   06062011600HSBC BANK BRASIL    0508201100000000000103815CC                                                                                                                                                                                                                                                                                                                                                                                           139600-32     000033
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     003439423000109MILVOLTS PECAS LTDA. ME                 RUA GUANABARA N97                       IMPERATRIZ                              65903380MA29417000020229061147933/03E   06062011600HSBC BANK BRASIL    0409201100000000000103815CC                                                                                                                                                                                                                                                                                                                                                                                           139600-33     000034
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     070965991000122AUTO MELOPECAS LTDA.                    R 7 SETEMBRO,3059                       GOVERNADOR VALA                         35010173MG29418000010229403048060/02E   07062011600HSBC BANK BRASIL    0608201100000000000104500CC                                                                                                                                                                                                                                                                                                                                                                                           139600-34     000035
1018421019169COBR_CAUC_COR  INDUSTRIA E COMERCIO AUTO REIS LTDA     070965991000122AUTO MELOPECAS LTDA.                    R 7 SETEMBRO,3059                       GOVERNADOR VALA                         35010173MG29418000020229404848060/03E   07062011600HSBC BANK BRASIL    0509201100000000000104500CC                                                                                                                                                                                                                                                                                                                                                                                           139600-35     000036
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     057622326000178RETIFICADORA DE MOTORES SUZANO LTD      RUA CARLOS R FARIAS N25                 SUZANO                                  08610110SP29419000010223613739393/04E   29042011007PAULISTA            2708201100000000000210500CC                                                                                                                                                                                                                                                                                                                                                                                           139600-36     000037
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     002494005000143EMPREEDIMENTOS EDUCACIONAIS DIAS L      R AMELIO QD 6 LT 2/3/11/12              GOIANIA                                 74333150GO29420000010231450251507/03E   17062011018GOIANIA             1509201100000000000106666CC                                                                                                                                                                                                                                                                                                                                                                                           139600-37     000038
1018421019169COBR_CAUC_BIC  INDUSTRIA E COMERCIO AUTO REIS LTDA     002494005000143EMPREEDIMENTOS EDUCACIONAIS DIAS L      R AMELIO QD 6 LT 2/3/11/12              GOIANIA                                 74333150GO29420000020231451151507/02E   17062011018GOIANIA             1608201100000000000106666CC                                                                                                                                                                                                                                                                                                                                                                                           139600-38     000039
