0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    02032011                                                                                                                                                                                                                                                                                                                                                                                                000001
1031420932046COBR_CAUC_BIC  PALMALI INDL.DE ALIMENTOS LTDA          074101569000341AGRICOLA JANDELLE S/A.                  AV ITAMARATY                            ROLANDIA                                86600000PR265220000104845721NE 0321831  25022011031LONDRINA            2003201100000000050000000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-1      000002
1031420932046COBR_CAUC_BIC  PALMALI INDL.DE ALIMENTOS LTDA          074101569000341AGRICOLA JANDELLE S/A.                  AV ITAMARATY                            ROLANDIA                                86600000PR265220000204845739NE 0321832  25022011031LONDRINA            2004201100000000050000000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-2      000003
1031420932046COBR_CAUC_BIC  PALMALI INDL.DE ALIMENTOS LTDA          074101569000341AGRICOLA JANDELLE S/A.                  AV ITAMARATY                            ROLANDIA                                86600000PR265220000304845747NE 0321833  25022011031LONDRINA            2005201100000000050000000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-3      000004
1031420932046COBR_CAUC_BIC  PALMALI INDL.DE ALIMENTOS LTDA          074101569000341AGRICOLA JANDELLE S/A.                  AV ITAMARATY                            ROLANDIA                                86600000PR265220000404845755NE 0321834  25022011031LONDRINA            2006201100000000050000000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-4      000005
1016421000833COBR_CAUC_BIC  SPERAFICO AGROINDUSTRIAL LTDA           081584278004223COOPERATIVA AGROINDUSTRIAL-COPAGRI      RUA 09 DE AGOSTO 258                    CANDID.RONDON                           85960000PR2652300001030293420016642-01  14022011016CURITIBA            2403201100000000028600000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-5      000006
1016421000833COBR_CAUC_BIC  SPERAFICO AGROINDUSTRIAL LTDA           081584278004223COOPERATIVA AGROINDUSTRIAL-COPAGRI      RUA 09 DE AGOSTO 258                    CANDID.RONDON                           85960000PR2652300002030293510016642-02  14022011016CURITIBA            2503201100000000028600000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-6      000007
1016421000833COBR_CAUC_BIC  SPERAFICO AGROINDUSTRIAL LTDA           081584278004223COOPERATIVA AGROINDUSTRIAL-COPAGRI      RUA 09 DE AGOSTO 258                    CANDID.RONDON                           85960000PR2652300003030293260016545-01  10022011600CURITIBA            2203201100000000014300000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-7      000008
1016421000833COBR_CAUC_BIC  SPERAFICO AGROINDUSTRIAL LTDA           081584278004223COOPERATIVA AGROINDUSTRIAL-COPAGRI      RUA 09 DE AGOSTO 258                    CANDID.RONDON                           85960000PR2652300004030293340016545-02  10022011600CURITIBA            2303201100000000028600000CC                                                                                                                                                                                                                                                                                                                                                                                           123766-8      000009
1007421040063COBR_CAUC_BIC  TUBERFIL IND. E COM. DE TUBOS LTDA      060608866000101ACOS VIC LTDA                           AV. PRESIDENTE WILSON 5445              SAO PAULO                               04220905SP26524000010040798325948 002   31012011007PAULISTA            1203201100000000045339263CC                                                                                                                                                                                                                                                                                                                                                                                           123766-9      000010
1044421010977COBR_CAUC_BIC  FEDCO INDUSTRIA E COMERCIO LTDA         006626253012400EMPREENDIMENTOS PAGUE MENOS S/A         RUA SENADOR POMPEU,1520                 FORTALEZA                               60025000CE26525000010134542511209/1.1   13122010003CENTRO              2104201100000000010553126CC                                                                                                                                                                                                                                                                                                                                                                                           123766-10     000011
1044421010977COBR_CAUC_BIC  FEDCO INDUSTRIA E COMERCIO LTDA         006626253012400EMPREENDIMENTOS PAGUE MENOS S/A         RUA SENADOR POMPEU,1520                 FORTALEZA                               60025000CE26525000020134543312120/1.1   21022011003CENTRO              3105201100000000014253668CC                                                                                                                                                                                                                                                                                                                                                                                           123766-11     000012
1046421004272COBR_CAUC_BIC  TUTTI BABY IND E COM ART INFANTIS       000325400000177IND DE MOVEIS CEQUIPEL PARANA LTDA      AVENIDA RUI BARBOSA,2980                SAO JOSE DOS PI                         83055320PR26526000010104281901365555-0  24022011016CURITIBA            1004201100000000015277500CC                                                                                                                                                                                                                                                                                                                                                                                           123766-12     000013
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          010387798000120GALLYS COM DE ELETRO ELETRONICOS E      R JOSE ABEL GALVAO,4                    SAO PAULO                               04811190SP2654500001044517883046A       08022011007PAULISTA            1403201100000000000711756CC                                                                                                                                                                                                                                                                                                                                                                                           123766-13     000014
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          010387798000120GALLYS COM DE ELETRO ELETRONICOS E      R JOSE ABEL GALVAO,4                    SAO PAULO                               04811190SP2654500002044518343046D       08022011007PAULISTA            0804201100000000000711756CC                                                                                                                                                                                                                                                                                                                                                                                           123766-14     000015
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          010387798000120GALLYS COM DE ELETRO ELETRONICOS E      R JOSE ABEL GALVAO,4                    SAO PAULO                               04811190SP2654500003044518423046E       08022011007PAULISTA            1804201100000000000711756CC                                                                                                                                                                                                                                                                                                                                                                                           123766-15     000016
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          010387798000120GALLYS COM DE ELETRO ELETRONICOS E      R JOSE ABEL GALVAO,4                    SAO PAULO                               04811190SP2654500004044518513046C       03022011007PAULISTA            0304201100000000000711756CC                                                                                                                                                                                                                                                                                                                                                                                           123766-16     000017
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          010387798000120GALLYS COM DE ELETRO ELETRONICOS E      R JOSE ABEL GALVAO,4                    SAO PAULO                               04811190SP2654500005044518693046B       08022011007PAULISTA            2403201100000000000711756CC                                                                                                                                                                                                                                                                                                                                                                                           123766-17     000018
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          061408514000175MARBOR MAQUINA LTDA                     R DA GRACA,597                          SAO PAULO                               01125001SP2654600001044507572996E       03022011007PAULISTA            0604201100000000001941931CC                                                                                                                                                                                                                                                                                                                                                                                           123766-18     000019
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          061408514000175MARBOR MAQUINA LTDA                     R DA GRACA,597                          SAO PAULO                               01125001SP2654600002044507652996D       03022011007PAULISTA            3103201100000000001941931CC                                                                                                                                                                                                                                                                                                                                                                                           123766-19     000020
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          061408514000175MARBOR MAQUINA LTDA                     R DA GRACA,597                          SAO PAULO                               01125001SP2654600003044507732996C       03022011007PAULISTA            2503201100000000001941931CC                                                                                                                                                                                                                                                                                                                                                                                           123766-20     000021
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          061408514000175MARBOR MAQUINA LTDA                     R DA GRACA,597                          SAO PAULO                               01125001SP2654600004044507812996B       03022011007PAULISTA            1403201100000000001941931CC                                                                                                                                                                                                                                                                                                                                                                                           123766-21     000022
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          061408514000175MARBOR MAQUINA LTDA                     R DA GRACA,597                          SAO PAULO                               01125001SP2654600005044507902996A       03022011007PAULISTA            0903201100000000001941931CC                                                                                                                                                                                                                                                                                                                                                                                           123766-22     000023
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          061408514000175MARBOR MAQUINA LTDA                     R DA GRACA,597                          SAO PAULO                               01125001SP2654600006044508032996J       03022011007PAULISTA            2805201100000000001941931CC                                                                                                                                                                                                                                                                                                                                                                                           123766-23     000024
1037421007442COBR_CAUC_BIC  SILFLEX I. C. PROD. PLAST LTDA          061408514000175MARBOR MAQUINA LTDA                     R DA GRACA,597                          SAO PAULO                               01125001SP2654600007044508112996I       03022011007PAULISTA            1805201100000000001941931CC                                                                                                                                                                                                                                                                                                                                                                                           123766-24     000025
