0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    04072011                                                                                                                                                                                                                                                                                                                                                                                                000001
1007421006183COBR_CAUC_BIC  NITRIFLEX S/A IND E COMERCIO            015179682002243RHODIA POLIAMIDA E ESPECIALIDADES       AV.DOS ESTADOS, 6144                    SANTO ANDRE                             09290520SP284470000100653305001014401   28062011038ABC                 3008201100000000013958474CC                                                                                                                                                                                                                                                                                                                                                                                           135910-1      000002
1007421006183COBR_CAUC_BIC  NITRIFLEX S/A IND E COMERCIO            052850682000125HBA HUTCHINSON BRASIL AUTOMOTIVE L      RUA DR. CARLOS KIELANDER, 2             MONTE ALTO                              15910000SP284480000100653313001014601   28062011022RIBEIRAO PRETO      2607201100000000018486638CC                                                                                                                                                                                                                                                                                                                                                                                           135910-2      000003
1016421009571COBR_CAUC_BIC  IMPORTADORA DE FRUTAS LA VIOLETERA      001644931000608A.S.E. DISTRIBUICAO LTDA                RUA SARGENTE EICLIDES, 110              ANAPOLIS                                75130390GO2844900001031091920013363501  28062011018GOIANIA             2607201100000000010686584CC                                                                                                                                                                                                                                                                                                                                                                                           135910-3      000004
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           047090782000160DANEVA MAQ. E COND. EL. LTDA.           RUA VOTUPORANGA,415                     POA                                     08558050SP28450000010065324113068-A     27062011007PAULISTA            1807201100000000016002389CC                                                                                                                                                                                                                                                                                                                                                                                           135910-4      000005
1032421000854COBR_CAUC_BIC  METALURGICA IANY IND E COM LTDA         076639285000924FERRAGENS NEGRAO COMERCIAL LTDA         R. PROFESSOR ALGACYR M. MADER,, 2800    CURITIBA - PR                           81310020PR28451000010954633314283-1/1   22062011016CURITIBA            0608201100000000011974038CC                                                                                                                                                                                                                                                                                                                                                                                           135910-5      000006
1007421053076COBR_CAUC_COR  WORLD TRACTOR COML IMP LTDA             033042730001348CIA SIDERURGICA NACIONAL/MIN CASA       MIN CASA DE PEDRA S/Nº                  CONGONHAS                               36415000MG2845200001006547273304        30062011800UNIBANCO S/A        3007201100000000072197224CC                                                                                                                                                                                                                                                                                                                                                                                           135910-6      000007
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004611929000108IDEAL TORNEADORA LTDA                   AVENIDA PARANA, ,845-QD 101 LT 1        GOIANIA                                 74513010GO285030000102263843321/3       09052011900BRADESCO S/A        0907201100000000000416666CC                                                                                                                                                                                                                                                                                                                                                                                           135910-7      000008
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004611929000108IDEAL TORNEADORA LTDA                   AVENIDA PARANA, ,845-QD 101 LT 1        GOIANIA                                 74513010GO285030000202263851321/4       09052011900BRADESCO S/A        1907201100000000000416666CC                                                                                                                                                                                                                                                                                                                                                                                           135910-8      000009
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004611929000108IDEAL TORNEADORA LTDA                   AVENIDA PARANA, ,845-QD 101 LT 1        GOIANIA                                 74513010GO285030000302263860321/5       09052011900BRADESCO S/A        2907201100000000000416666CC                                                                                                                                                                                                                                                                                                                                                                                           135910-9      000010
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004611929000108IDEAL TORNEADORA LTDA                   AVENIDA PARANA, ,845-QD 101 LT 1        GOIANIA                                 74513010GO285030000402263878321/6       09052011900BRADESCO S/A        0908201100000000000416670CC                                                                                                                                                                                                                                                                                                                                                                                           135910-10     000011
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000102256898313/N       04052011900BRADESCO S/A        1208201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-11     000012
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000202256901313/M       04052011900BRADESCO S/A        0708201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-12     000013
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000302256910313/L       04052011900BRADESCO S/A        0208201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-13     000014
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000402256928313/K       04052011900BRADESCO S/A        2807201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-14     000015
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000502256936313/J       04052011900BRADESCO S/A        2307201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-15     000016
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000602256944313/I       04052011900BRADESCO S/A        1807201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-16     000017
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000702256952313/H       04052011900BRADESCO S/A        1307201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-17     000018
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000802256961313/G       04052011900BRADESCO S/A        0807201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-18     000019
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040000902256979313/F       04052011900BRADESCO S/A        0307201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-19     000020
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      007538373000160ENGEMASTER CONSTRUCAO CIVIL LTDA M      RUA H-76, ,0-QD 226 LT 5                APARECIDA DE GO                         74936280GO285040001002257029313/O       04052011900BRADESCO S/A        1708201100000000000222200CC                                                                                                                                                                                                                                                                                                                                                                                           135910-20     000021
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003832084000118COMERCIAL DE MATERIAIS ELETRICOS L      AVENIDA INDEPENDENCIA,5597              GOIANIA                                 75690000GO285050000102321711DM 30/1-2   22062011900BRADESCO S/A        2407201100000000001250000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-21     000022
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003832084000118COMERCIAL DE MATERIAIS ELETRICOS L      AVENIDA INDEPENDENCIA,5597              GOIANIA                                 75690000GO285050000202321720DM 30/2-2   22062011900BRADESCO S/A        2408201100000000001250000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-22     000023
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003719488000108ASSOC DOS AGENTES AMB DO TERC SETO      AVENIDA REPUBLICA DO ,58-QD W LT 3      GOIANIA                                 74070040GO285060000102293025399/01      06062011900BRADESCO S/A        0607201100000000000400000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-23     000024
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003719488000108ASSOC DOS AGENTES AMB DO TERC SETO      AVENIDA REPUBLICA DO ,58-QD W LT 3      GOIANIA                                 74070040GO285060000202293033399/02      06062011900BRADESCO S/A        1607201100000000000400000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-24     000025
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003719488000108ASSOC DOS AGENTES AMB DO TERC SETO      AVENIDA REPUBLICA DO ,58-QD W LT 3      GOIANIA                                 74070040GO285060000302293041399/03      06062011900BRADESCO S/A        2607201100000000000400000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-25     000026
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003719488000108ASSOC DOS AGENTES AMB DO TERC SETO      AVENIDA REPUBLICA DO ,58-QD W LT 3      GOIANIA                                 74070040GO285060000402293050399/04      06062011900BRADESCO S/A        0608201100000000000400000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-26     000027
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003719488000108ASSOC DOS AGENTES AMB DO TERC SETO      AVENIDA REPUBLICA DO ,58-QD W LT 3      GOIANIA                                 74070040GO285060000502293068399/05      06062011900BRADESCO S/A        1608201100000000000400000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-27     000028
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003719488000108ASSOC DOS AGENTES AMB DO TERC SETO      AVENIDA REPUBLICA DO ,58-QD W LT 3      GOIANIA                                 74070040GO285060000602293076399/06      06062011900BRADESCO S/A        2608201100000000000400000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-28     000029
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003719488000108ASSOC DOS AGENTES AMB DO TERC SETO      AVENIDA REPUBLICA DO ,58-QD W LT 3      GOIANIA                                 74070040GO285060000702293084399/07      06062011900BRADESCO S/A        0609201100000000000400000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-29     000030
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700001023038111365/A      10062011900BRADESCO S/A        2907201100000000000195800CC                                                                                                                                                                                                                                                                                                                                                                                           135910-30     000031
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700002023038291365/B      10062011900BRADESCO S/A        1208201100000000000195800CC                                                                                                                                                                                                                                                                                                                                                                                           135910-31     000032
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700003023039771365/C      10062011900BRADESCO S/A        2608201100000000000195799CC                                                                                                                                                                                                                                                                                                                                                                                           135910-32     000033
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700004023302311473/C      30062011900BRADESCO S/A        1209201100000000000280518CC                                                                                                                                                                                                                                                                                                                                                                                           135910-33     000034
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700005023302491473/B      30062011900BRADESCO S/A        2908201100000000000280700CC                                                                                                                                                                                                                                                                                                                                                                                           135910-34     000035
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700006023302571473/A      30062011900BRADESCO S/A        1508201100000000000280700CC                                                                                                                                                                                                                                                                                                                                                                                           135910-35     000036
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700007023302651472/C      30062011900BRADESCO S/A        1209201100000000000624564CC                                                                                                                                                                                                                                                                                                                                                                                           135910-36     000037
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700008023302731472/B      30062011900BRADESCO S/A        2908201100000000000624500CC                                                                                                                                                                                                                                                                                                                                                                                           135910-37     000038
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      004929701000160BOB STORE CONFECCOES LTDA               RUA CASA DO ATOR,867                    SAO PAULO                               04546003SP2850700009023302811472/A      30062011900BRADESCO S/A        1508201100000000000624500CC                                                                                                                                                                                                                                                                                                                                                                                           135910-38     000039
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000102241246314/14      02052011900BRADESCO S/A        1308201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-39     000040
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000202241254314/13      02052011900BRADESCO S/A        0808201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-40     000041
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000302241262314/12      02052011900BRADESCO S/A        0308201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-41     000042
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000402241271314/11      02052011900BRADESCO S/A        2907201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-42     000043
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000502241289314/10      02052011900BRADESCO S/A        2407201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-43     000044
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000602241297314/09      02052011900BRADESCO S/A        1907201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-44     000045
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000702241301314/08      02052011900BRADESCO S/A        1407201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-45     000046
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000802241319314/07      02052011900BRADESCO S/A        0907201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-46     000047
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080000902241327314/06      02052011900BRADESCO S/A        0407201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-47     000048
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      008290415000159ANTUNES CARDOSO CONST E PART LTDA       RUA T-28,917-QD 52 LT 24                GOIANIA                                 74210040GO285080001002241416314/15      02052011900BRADESCO S/A        1808201100000000000350000CC                                                                                                                                                                                                                                                                                                                                                                                           135910-48     000049
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003715211000107OCA REPRESENTACOES E SERV LTDA          AV T9,4914                              GOIANIA                                 74333010GO285090000102254224315/14      06052011900BRADESCO S/A        2208201100000000000324560CC                                                                                                                                                                                                                                                                                                                                                                                           135910-49     000050
1018421026211COBR_CAUC_COR  BRASIL FACTORING FOMENTO MERCANTIL      003715211000107OCA REPRESENTACOES E SERV LTDA          AV T9,4914                              GOIANIA                                 74333010GO285090000202254232315/13      06052011900BRADESCO S/A        1708201100000000000324560CC                                                                                                                                                                                                                                                                                                                                                                                           135910-50     000051
