0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    13102010                                                                                                                                                                                                                                                                                                                                                                                                000001
1014420939021COBR_CAUC_BIC  EDITORA O DIA S/A                       033747288000111FETRANSPOR FED.EMP.TRANSP.PASSAG.E      ASSEMBLEIA, 10 39§ ANDAR SLS.3901       RIO DE JANEIRO                          20011901RJ2456400001022866810560430     07102010014RIO DE JANEIRO      1511201000000000010552910CC                                                                                                                                                                                                                                                                                                                                                                                           113266-1      000002
1022421004755COBR_CAUC_COR  FRIGOL S.A. em recuperacao judicial     010452689000149ALIANCA COM E DIST CARNES E DERI L      RUA MARIA GONZAGA 19                    SAO JOAO DE MER                         25535420RJ2456500001000448994521        07102010900BRADESCO S/A        1810201000000000015183670CC                                                                                                                                                                                                                                                                                                                                                                                           113266-2      000003
1022421004755COBR_CAUC_COR  FRIGOL S.A. em recuperacao judicial     010452689000149ALIANCA COM E DIST CARNES E DERI L      RUA MARIA GONZAGA 19                    SAO JOAO DE MER                         25535420RJ2456500002000449024520-01     07102010900BRADESCO S/A        1310201000000000015149818CC                                                                                                                                                                                                                                                                                                                                                                                           113266-3      000004
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     012442238000156PODIUM COM. DE MAQ. PESADAS E EQUI      AV ENGENHEIRO EMILIANO MACIEIRA 03      SAO LUIS                                65095603MA2458300001001006011012        06102010042SAO LUIS            0611201000000000006150000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-4      000005
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     012442238000156PODIUM COM. DE MAQ. PESADAS E EQUI      AV ENGENHEIRO EMILIANO MACIEIRA 03      SAO LUIS                                65095603MA2458300002001006191012        06102010042SAO LUIS            0612201000000000006150000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-5      000006
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     012442238000156PODIUM COM. DE MAQ. PESADAS E EQUI      AV ENGENHEIRO EMILIANO MACIEIRA 03      SAO LUIS                                65095603MA2458300003001006271012        06102010042SAO LUIS            0601201100000000006150000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-6      000007
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     012442238000156PODIUM COM. DE MAQ. PESADAS E EQUI      AV ENGENHEIRO EMILIANO MACIEIRA 03      SAO LUIS                                65095603MA2458300004001006351012        06102010042SAO LUIS            0602201100000000006150000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-7      000008
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000100100368969         28092010003CENTRO              2810201000000000006150000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-8      000009
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000200000037954         24092010003CENTRO              2410201000000000007000000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-9      000010
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000300000045954         24092010003CENTRO              2411201000000000007000000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-10     000011
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000400100015956         24092010003CENTRO              2510201000000000007000000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-11     000012
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000500100023956         24092010003CENTRO              2511201000000000007000000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-12     000013
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000600100074957         27092010003CENTRO              2710201000000000007000000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-13     000014
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000700100082957         27092010003CENTRO              2711201000000000007000000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-14     000015
1010421019301COBR_CAUC_BIC  EXITO IMPORTADORA E EXPORTADORA S/A     007921998000106PODIUM COMERCIAL DE CAMINHOES E ON      ROD BR 116 7993                         EUSEBIO                                 61760000CE245840000800100104958         27092010003CENTRO              2710201000000000007000000CC                                                                                                                                                                                                                                                                                                                                                                                           113266-15     000016
