0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    02122011                                                                                                                                                                                                                                                                                                                                                                                                000001
1043421003018COBR_CAUC_BIC  FELINTO INDUSTRIA E COMERCIO LTDA       070940994005685PANDURATA ALIMENTOS LTDA                RUA CARLO BAUDUCO, 191,191              GUARULHOS                               07241210SP32174000010068051112712 A     25112011037GUARULHOS           1801201200000000018464666CC                                                                                                                                                                                                                                                                                                                                                                                           153741-1      000002
1016421008591COBR_CAUC_BIC  GLOBOAVES SAO PAULO AGROAVICOLA LTD     061752739000144FRIGORIFICO PRIETO LTDA                 AV VER JOAQUIM P BARBOSA,777            CAJAMAR                                 07760000SP321750000103244367071583      23112011021CAMPINAS            2312201100000000010985379CC                                                                                                                                                                                                                                                                                                                                                                                           153741-2      000003
1016421013110COBR_CAUC_COR  KAEFER AGRO INDUSTRIAL LTDA             004993160000130DISTRIBUIDORA DE CARNES J K LTDA        RUA DIAGONAL ,84                        MANAUS                                  69073040AM321760000103244499052091      24112011800UNIBANCO S/A        0912201100000000010327950CC                                                                                                                                                                                                                                                                                                                                                                                           153741-3      000004
1016421013110COBR_CAUC_COR  KAEFER AGRO INDUSTRIAL LTDA             010418161000153COMERCIO DE FRIOS MANAUS LTDA           RUA PORANGATU,29                        MANAUS                                  69047070AM321770000103244456051921      22112011800UNIBANCO S/A        0712201100000000010327950CC                                                                                                                                                                                                                                                                                                                                                                                           153741-4      000005
1016421013110COBR_CAUC_BIC  KAEFER AGRO INDUSTRIAL LTDA             061752739000144FRIGORIFICO PRIETO LTDA                 AV VE JOAQUIM P BARBOSA,777             CAJAMAR                                 07750000SP321780000103244448071368      21112011007PAULISTA            2112201100000000010925928CC                                                                                                                                                                                                                                                                                                                                                                                           153741-5      000006
1041421004310COBR_CAUC_COR  CERAMICA QUEIROZ                        000061888559349SILVANA CHAVES DE OLIVEIRA              RUA-06QUADRA-15 ,17                     CAXIAS                                  65604400MA3219500001000072511991/2      04102011900BRADESCO S/A        0312201100000000000018300CC                                                                                                                                                                                                                                                                                                                                                                                           153741-6      000007
1041421004310COBR_CAUC_COR  CERAMICA QUEIROZ                        000719094000153EDSON DA S. PINHEIRO                    R. CLODOMIR CARDOSO,1257                CAXIAS                                  65606530MA3219600001000081762178        24112011900BRADESCO S/A        2412201100000000000104000CC                                                                                                                                                                                                                                                                                                                                                                                           153741-7      000008
1038421013459COBR_CAUC_COR  GENERAL BRANDS DO BR I C P A LTDA       007721579000201DIPALMA COM DIST E LOGIST PROD ALI      ROD BR 262 - 4603 - SAIDA P/ TRES LAGOASCAMPO GRANDE                            79040670MS321970000109481076001062862   28102011900BRADESCO S/A        3101201200000000010490760CC                                                                                                                                                                                                                                                                                                                                                                                           153938-1      000009
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        009363567000105PREMIX BRASIL RESINAS                   ALAMEDA ARAGU,2044-CJ703A705TORRE2      SAO PAULO                               06455000SP3219800001094810686809        24112011007PAULISTA            0801201200000000092512239CC                                                                                                                                                                                                                                                                                                                                                                                           153938-2      000010
1007421032516COBR_CAUC_BIC  NITRIFLEX SP IND E COM DE BORRACHAS     051938702000151AGEL-ANEIS GAXETAS EQUIPAMENTOS LT      AV PIRAMBOIA, 1580                      BARUERI                                 06465060SP321990000100940053000790901   28112011007PAULISTA            1212201100000000010583104CC                                                                                                                                                                                                                                                                                                                                                                                           153938-3      000011
1013141016637COBR_CAUC_BIC  SIDBRAS PRODUTOS SIDERURGICOS LTDA      004290793000181GROW EMPREENDIMENTOS LTDA               AV BARRAO DO R BRANCO,186 EDF           ARACAJU                                 49018900SE3220000001041126793142 A      25112011045ARACAJU             1502201200000000010913820TD                                                                                                                                                                                                                                                                                                                                                                                           153938-4      000012
1013141016637COBR_CAUC_BIC  SIDBRAS PRODUTOS SIDERURGICOS LTDA      004290793000181GROW EMPREENDIMENTOS LTDA               AV BARRAO DO R BRANCO,186 EDF           ARACAJU                                 49018900SE3220000002041126873142 B      25112011045ARACAJU             1503201200000000010913820TD                                                                                                                                                                                                                                                                                                                                                                                           153938-5      000013
1014421017616COBR_CAUC_BIC  GPC QUIMICA S/A                         057001273000178ROYALPLAS IND COM DE PROD QUIM          AV. NOVO BRASIL, 750                    GUARULHOS                               07221010SP3222100001044933310012978     29112011037GUARULHOS           2712201100000000037500000CC                                                                                                                                                                                                                                                                                                                                                                                           153939-1      000014
1007421013325COBR_CAUC_COR  SANTA CRUZ FOMENTO COMERCIAL LTDA       059275792000150GENERAL MOTORS DO BRASIL LTDA           AV. GOIAS, 1805                         SAO CAETANO DO                          09550900SP32222000010094341948745       28112011900BRADESCO S/A        1301201200000000013883885CC                                                                                                                                                                                                                                                                                                                                                                                           153939-2      000015
1031421007893COBR_CAUC_COR  DIPLOMATA S/AINDL. E COMERCIAL          091830836000683OLFAR - INDUSTRIA E COMERCIO DE OL      ROD EST BR 153 KM 53 SN                 ERECHIM                                 99700000RS3222300001049517500015865-05  29112011800UNIBANCO S/A        2501201200000000010200000CC                                                                                                                                                                                                                                                                                                                                                                                           153939-3      000016
1031421007893COBR_CAUC_COR  DIPLOMATA S/AINDL. E COMERCIAL          091830836000683OLFAR - INDUSTRIA E COMERCIO DE OL      ROD EST BR 153 KM 53 SN                 ERECHIM                                 99700000RS3222300002049517680015865-04  29112011800UNIBANCO S/A        2501201200000000010200000CC                                                                                                                                                                                                                                                                                                                                                                                           153939-4      000017
