0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    27102011                                                                                                                                                                                                                                                                                                                                                                                                000001
1032420932087COBR_CAUC_COR  TEXTIL RENAUXVIEW S/A                   084229889000173BRANDILI TEXTIL LTDA                    R QUINTINO BOCAIUVACXP 19 29            APIUNA                                  89135000SC31528000010994386349639/A     24102011900BRADESCO S/A        1601201200000000010345037CC                                                                                                                                                                                                                                                                                                                                                                                           149637-1      000002
1032420932303COBR_CAUC_BIC  TEKA TECELAGEM KUEHNRICH S/A            014112933000185AGUA DE CHEIRO DISTRIB.PRODUTOS LT      ROD.RAP.TAV,SN KM20 BLA MOD1002/1004    SAO PAULO                               05577300SP3152900001099445170121145701  24102011007PAULISTA            2201201200000000015310950CC                                                                                                                                                                                                                                                                                                                                                                                           149637-2      000003
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13203850SP3153000001062153150000511124  14102011007PAULISTA            3110201100000000010178688TD                                                                                                                                                                                                                                                                                                                                                                                           149637-3      000004
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13203850SP3153000002062153230000511123  14102011007PAULISTA            3110201100000000010859466TD                                                                                                                                                                                                                                                                                                                                                                                           149637-4      000005
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13203850SP3153000003062153310000512122  17102011007PAULISTA            3110201100000000011356387TD                                                                                                                                                                                                                                                                                                                                                                                           149637-5      000006
1021141012725COBR_CAUC_BIC  MABE BRASIL ELETRODOMESTICOS LTDA       010757237010723NOVA CASA BAHIA S/A                     RODOVIA ANHANGUERA 0, S/N KM52          JUNDIAI                                 13203850SP3153000004062160360000517673  21102011007PAULISTA            0111201100000000010311369TD                                                                                                                                                                                                                                                                                                                                                                                           149637-6      000007
1007421049451COBR_CAUC_COR  RIGOR ALIMENTOS LTDA                    005769151001528FRIGORIFICO SERRADAO LTDA               R ESTORIL, 16011591                     BELO HORIZONTE                          31255190MG3153100001000570528043854     22102011900BRADESCO S/A        1211201100000000011790764CC                                                                                                                                                                                                                                                                                                                                                                                           149637-7      000008
1018421010323COBR_CAUC_COR  PRODUBON NUTRICAO ANIMAL LTDA           000001527959872ALDO PEDRESCHI                          CAIXA POSTAL 277 FAZENDA VILA MARIA     SERTAOZINHO                             14160970SP31532000010248250226196/2     26092011800UNIBANCO S/A        2511201100000000010735501CC                                                                                                                                                                                                                                                                                                                                                                                           149637-8      000009
1007421053076COBR_CAUC_BIC  WORLD TRACTOR COML IMP LTDA             033042730001348CIA SIDERURGICA NACIONAL                RUA ENG FRANCISCO PITTA BRITTO,138      SAO PAULO                               04753900SP3153300001008829913779        21102011007PAULISTA            2011201100000000011230806CC                                                                                                                                                                                                                                                                                                                                                                                           149637-9      000010
1007421000045DIR_CREDIT     GRANCARGA TRANSP. E GUINDASTES S/A.     035820448013467WHITE MARTINS GASES INDUSTRIAIS LTDA    AV DAS AMERICAS, 3434 6ª AND. BARRA DA TRIO DE JANEIRO                          22640102RJ3153700001                                                                                                                                          481056130           210620110000019104            24102011000404transporte e rigging de peças e equipamentos do projeto 25038 Iguatama - MG referente pedidos nrs 40121973 e 40122752 OS 2011.                                                                                                                  051556223000170149637-10     000011
