0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    10092010                                                                                                                                                                                                                                                                                                                                                                                                000001
1028421002719COBR_CAUC_COR  SIPCAM ISAGRO BRASIL S/A                005412826000181COSTA E VIEIRA LTDA                     RUA RIO DE JANEIRO, N. 1.529            PRIMAVERA DO LE                         78850000MT240060000102642137DC00255502  31082010900BRADESCO S/A        3006201100000000013799980CC                                                                                                                                                                                                                                                                                                                                                                                           110611-1      000002
1028421002719COBR_CAUC_COR  SIPCAM ISAGRO BRASIL S/A                005412826000181COSTA E VIEIRA LTDA                     RUA RIO DE JANEIRO, N. 1.529            PRIMAVERA DO LE                         78850000MT240060000202642145DC00255602  31082010900BRADESCO S/A        3006201100000000013799980CC                                                                                                                                                                                                                                                                                                                                                                                           110611-2      000003
1028421002921COBR_CAUC_COR  FRIGORIFICO MATABOI S/A                 076189406000126CONDOR SUPER CENTER LTDA                R. NICOLA PELANDA250                    CURITIBA                                81880000PR2400700001002018510002359901  01092010900BRADESCO S/A        0410201000000000027392377CC                                                                                                                                                                                                                                                                                                                                                                                           110611-3      000004
1014421012444COBR_CAUC_COR  HOTEIS OTHON S/A.                       007575651000310VRG LINHAS AEREAS S A                   PCA SEN SALGADO FILHO S N SALA 02       RIO DE JANEIRO                          20021971RJ2400800001000601031200392801  02092010900BRADESCO S/A        2709201000000000028675000CC                                                                                                                                                                                                                                                                                                                                                                                           110611-4      000005
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           005500757000168COOP AGROINDL DO EST RIO DE JANEIR      ESTRADA DO ACUCAR GOYTACAZES BR         CAMPOS DOS GOYT                         28110000RJ240090000105898796126574-1-1  24082010600HSBC BANK BRASIL    1509201000000000013245419CC                                                                                                                                                                                                                                                                                                                                                                                           110611-5      000006
1016421001333COBR_CAUC_BIC  CONDUSPAR CONDUTORES ELETRICOS LTDA     004765886000115K2 DO BRASIL LTDA                       AV BERLIM, 65                           PORTO ALEGRE                            90240581RS240100000102855541214808      31082010015PORTO ALEGRE        2610201000000000012693600CC                                                                                                                                                                                                                                                                                                                                                                                           110611-6      000007
1024420934410COBR_CAUC_BIC  INTERCOOP INT SUIN MED NORTE MT LTD     044077378000169COPROSUL COMERCIO IMPORTACAO E EXP      RUA LEONOR FER,1949-VILA GUILHERME      SAO PAULO                               02052020SP24011000010182581445164       31082010007PAULISTA            0510201000000000011915372CC                                                                                                                                                                                                                                                                                                                                                                                           110611-7      000008
1007421017118COBR_CAUC_BIC  NILPEL IND E COM DE PAPEIS LTDA         000190373000172INDUSTRIA E COMERCIO DE COSMETICOS      ALAMEDA JURUÁ, 253                      BARUERI                                 06455010SP240120000100075123NFE3-15734  26082010007PAULISTA            2510201000000000017998343CC                                                                                                                                                                                                                                                                                                                                                                                           110611-8      000009
1007421017118COBR_CAUC_BIC  NILPEL IND E COM DE PAPEIS LTDA         000190373000172INDUSTRIA E COMERCIO DE COSMETICOS      ALAMEDA JURUÁ, 253                      BARUERI                                 06455010SP240120000200075131NFE3-15735  26082010007PAULISTA            2510201000000000017998343CC                                                                                                                                                                                                                                                                                                                                                                                           110611-9      000010
1007421017118COBR_CAUC_BIC  NILPEL IND E COM DE PAPEIS LTDA         000190373000172INDUSTRIA E COMERCIO DE COSMETICOS      ALAMEDA JURUÁ, 253                      BARUERI                                 06455010SP240120000300075140NFE3-15737  26082010007PAULISTA            2510201000000000017998343CC                                                                                                                                                                                                                                                                                                                                                                                           110611-10     000011
1038421000829COBR_CAUC_BIC  ATHENEE COMERCIO IMP E EXP LTDA         008427165000156TDSP DIREITOS HUMANOS EMP IMOB SPE      R IGUATEMI,448-CJ 1401 SALA 12          SAO PAULO                               01451010SP240130000100015927000708 1/2  01092010007PAULISTA            0609201000000000015706277CC                                                                                                                                                                                                                                                                                                                                                                                           110611-11     000012
1013141007379COBR_CAUC_COR  ISOREL LOCACAO E SERVICOS LTDA          000860705000189PRODUMAN ENGENHARIA LTDA                1 TV DO BALNEARIO,402 IMBASSAY          DIAS D´AVILA                            42850000BA24014000010400552001816       01092010900BRADESCO S/A        0110201000000000021202806TD                                                                                                                                                                                                                                                                                                                                                                                           110611-12     000013
1021421011915DIR_CREDIT     ASSOCIACAO EVANGELICA BENEFICENTE       067366310000103FUND.DA SEG.SOCIAL SERV.PUB.MUN.SOROCABARUA MACHADO DE ASSIS 82 CENTRO          SOROCABA                                18035270SP2403700001                                                                                                                                          011080005           011020000000014464S/N         11082010000403Assistência medico-hospitalar aos benerificiários da Fundação.                                                                                                                                                                                  061705877000334110611-13     000014
1021421011915DIR_CREDIT     ASSOCIACAO EVANGELICA BENEFICENTE       067366310000103FUND.DA SEG.SOCIAL SERV.PUB.MUN.SOROCABARUA MACHADO DE ASSIS 82 CENTRO          SOROCABA                                18035270SP2403800001                                                                                                                                          011080005           011020000000014464S/N         11082010000403Assistência medico-hospitalar aos benerificiários da Fundação.                                                                                                                                                                                  061705877000334110611-14     000015
1021421011915DIR_CREDIT     ASSOCIACAO EVANGELICA BENEFICENTE       067366310000103FUND.DA SEG.SOCIAL SERV.PUB.MUN.SOROCABARUA MACHADO DE ASSIS 82 CENTRO          SOROCABA                                18035270SP2403900001                                                                                                                                          011080005           011020000000014464S/N         11082010000403Assistência medico-hospitalar aos benerificiários da Fundação.                                                                                                                                                                                  061705877000334110611-15     000016
1007421044069COBR_CAUC_COR  REFREX EVAPORADORES                     059105999003959WHIRLPOOL S/A                           RUA DONA FRANCISCA,7200                 JOINVILLE                               89219900SC24040000010002633514285       04082010900BRADESCO S/A        0212201000000000001000602CC                                                                                                                                                                                                                                                                                                                                                                                           110611-16     000017
1007421044069COBR_CAUC_COR  REFREX EVAPORADORES                     059105999003959WHIRLPOOL S/A                           RUA DONA FRANCISCA,7200                 JOINVILLE                               89219900SC24040000020002635114265       04082010900BRADESCO S/A        0212201000000000002290192CC                                                                                                                                                                                                                                                                                                                                                                                           110611-17     000018
1007421044069COBR_CAUC_COR  REFREX EVAPORADORES                     059105999003959WHIRLPOOL S/A                           RUA DONA FRANCISCA,7200                 JOINVILLE                               89219900SC24040000030002916414334       06082010900BRADESCO S/A        0412201000000000003672266CC                                                                                                                                                                                                                                                                                                                                                                                           110611-18     000019
1007421044069COBR_CAUC_COR  REFREX EVAPORADORES                     059105999003959WHIRLPOOL S/A                           RUA DONA FRANCISCA,7200                 JOINVILLE                               89219900SC24040000040002923714351       07082010900BRADESCO S/A        0512201000000000001000602CC                                                                                                                                                                                                                                                                                                                                                                                           110611-19     000020
