0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12º andar BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    08102010                                                                                                                                                                                                                                                                                                                                                                                                000001
1008421003482COBR_CAUC_BIC  METALGRAFICA CEARENSE S/AMECESA         019900000001903CERVJS KAISER BRASIL S/A-PACATUBA       AV. PRES. H. DE A. C. BRANCO 2911       JACAREI                                 12321150SP24517000010811913101380801    05102010007PAULISTA            0211201000000000015200076CC                                                                                                                                                                                                                                                                                                                                                                                           113063-1      000002
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     028129260000342DRIFT COMERCIO DE ALIMENTOS LTDA        ROD ES 010, SN , VITORIA - JACARAI      SERRA                                   29165140ES24559000010057239242453003    28062010900BRADESCO S/A        2210201000000000008841625CC                                                                                                                                                                                                                                                                                                                                                                                           113173-1      000003
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     028129260000342DRIFT COMERCIO DE ALIMENTOS LTDA        ROD ES 010, SN , VITORIA - JACARAI      SERRA                                   29165140ES245590000200573739169968003   21072010900BRADESCO S/A        2310201000000000009650187CC                                                                                                                                                                                                                                                                                                                                                                                           113173-2      000004
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     028129260000342DRIFT COMERCIO DE ALIMENTOS LTDA        ROD ES 010, SN , VITORIA - JACARAI      SERRA                                   29165140ES2455900003005756772035002     24082010900BRADESCO S/A        2510201000000000009546689CC                                                                                                                                                                                                                                                                                                                                                                                           113173-3      000005
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     028129260000342DRIFT COMERCIO DE ALIMENTOS LTDA        ROD ES 010, SN , VITORIA - JACARAI      SERRA                                   29165140ES2455900004005756852035003     24082010900BRADESCO S/A        2511201000000000009546689CC                                                                                                                                                                                                                                                                                                                                                                                           113173-4      000006
1028421002921COBR_CAUC_COR  FRIGORIFICO MATABOI S/A                 000281228000440N&N COMERCIO DE ALIMENTOS LTDA          ROD REGIS BITTENCOURTKM 294 SALA 0      ITAPECERICA DA                          06850700SP2453400001002116780012227801  05102010900BRADESCO S/A        0411201000000000015681878CC                                                                                                                                                                                                                                                                                                                                                                                           113173-5      000007
1046421000145COBR_CAUC_BIC  KOMLOG IMPORTACAO LTDA                  024150377000195KARNE KEIJOLOGISTICA INTEGRADA L        RODOVIA BR 101 SUL, 3.700SL 01          RECIFE                                  50900400PE2453500001008467610000007880  30092010010RECIFE              2911201000000000011058000CC                                                                                                                                                                                                                                                                                                                                                                                           113173-6      000008
1014421018213COBR_CAUC_COR  POWERTECH COMERCIAL LTDA.               015809486000180FH DE OLIVEIRA PEIXOTO                  RODOVIA BR 174 KM 03,0                  MANAUS                                  69050000AM245360000100015493001355      04102010900BRADESCO S/A        0111201000000000015800000CC                                                                                                                                                                                                                                                                                                                                                                                           113173-7      000009
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009578190000101DISTRIBUIDORA MERCOFRUTAS LTDA          ROD BR 262, SN , KM6,5,L55,56PP3        CARIACICA                               29145906ES2456000001005763554172001     27092010900BRADESCO S/A        0811201000000000000624000CC                                                                                                                                                                                                                                                                                                                                                                                           113173-8      000010
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009578190000101DISTRIBUIDORA MERCOFRUTAS LTDA          ROD BR 262, SN , KM6,5,L55,56PP3        CARIACICA                               29145906ES2456000002005763634174001     27092010900BRADESCO S/A        0811201000000000000107500CC                                                                                                                                                                                                                                                                                                                                                                                           113173-9      000011
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009578190000101DISTRIBUIDORA MERCOFRUTAS LTDA          ROD BR 262, SN , KM6,5,L55,56PP3        CARIACICA                               29145906ES2456000003005763714175001     27092010900BRADESCO S/A        0811201000000000000257500CC                                                                                                                                                                                                                                                                                                                                                                                           113173-10     000012
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009578190000101DISTRIBUIDORA MERCOFRUTAS LTDA          ROD BR 262, SN , KM6,5,L55,56PP3        CARIACICA                               29145906ES2456000004005766734235001     30092010900BRADESCO S/A        0911201000000000000430000CC                                                                                                                                                                                                                                                                                                                                                                                           113173-11     000013
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     008333055000125ATACADISTA E DISTRIBUIDORA SANTA L      R SETOR ARMAZENAGEM E ABASTECECIME      BRASILIA                                72549530DF24561000010057605315600001    06092010900BRADESCO S/A        1810201000000000001856663CC                                                                                                                                                                                                                                                                                                                                                                                           113173-12     000014
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     007143827000101DISTR DE ALIMENTOS RONDELI LTDA         ROD BR 262, SN , KM 6,5 - PAVILHAO      CARIACICA                               29145906ES24562000010057660636596001    28092010900BRADESCO S/A        0311201000000000002665800CC                                                                                                                                                                                                                                                                                                                                                                                           113173-13     000015
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009397586000225SERRANO DISTRIBUIDORA LTDA              AV JOCARLY GOMES SALLES, SN             CARIACICA                               29143546ES24563000010057199045825004    21072010900BRADESCO S/A        1910201000000000000315406CC                                                                                                                                                                                                                                                                                                                                                                                           113173-14     000016
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009397586000225SERRANO DISTRIBUIDORA LTDA              AV JOCARLY GOMES SALLES, SN             CARIACICA                               29143546ES24563000020057215545829004    21072010900BRADESCO S/A        1910201000000000001020374CC                                                                                                                                                                                                                                                                                                                                                                                           113173-15     000017
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009397586000225SERRANO DISTRIBUIDORA LTDA              AV JOCARLY GOMES SALLES, SN             CARIACICA                               29143546ES24563000030057231745949004    22072010900BRADESCO S/A        1910201000000000000266475CC                                                                                                                                                                                                                                                                                                                                                                                           113173-16     000018
1014421008188COBR_CAUC_COR  YARA ALIMENTOS LTDA                     009397586000225SERRANO DISTRIBUIDORA LTDA              AV JOCARLY GOMES SALLES, SN             CARIACICA                               29143546ES24563000040057235045950004    22072010900BRADESCO S/A        1910201000000000001792319CC                                                                                                                                                                                                                                                                                                                                                                                           113173-17     000019
